Date,model,model_label,portfolio,gross_return,net_return,market_return,gross_excess,net_excess,turnover,holding_count
2021-12-31,linear_regression,线性回归,strict_top30,0.15173999999999996,0.14973999999999996,-0.08374728013419602,0.23548728013419598,0.23348728013419598,1.0,30
2022-03-31,linear_regression,线性回归,strict_top30,0.1624633333333333,0.16059666666666664,0.010724408703878904,0.15173892462945437,0.14987225796278775,0.9333333333333333,30
2022-06-30,linear_regression,线性回归,strict_top30,0.061239999999999996,0.06010666666666666,-0.09198092444861566,0.15322092444861565,0.15208759111528233,0.5666666666666667,30
2021-12-31,ridge,Ridge回归,strict_top30,0.13316,0.13116,-0.08374728013419602,0.21690728013419602,0.21490728013419602,1.0,30
2022-03-31,ridge,Ridge回归,strict_top30,0.16241333333333333,0.16061333333333333,0.010724408703878904,0.15168892462945444,0.1498889246294544,0.9,30
2022-06-30,ridge,Ridge回归,strict_top30,0.061989999999999996,0.06085666666666666,-0.09198092444861566,0.15397092444861565,0.15283759111528233,0.5666666666666667,30
2021-12-31,logistic_regression,逻辑回归,strict_top30,0.1722466666666667,0.17024666666666669,-0.08374728013419602,0.25599394680086274,0.25399394680086274,1.0,30
2022-03-31,logistic_regression,逻辑回归,strict_top30,0.15119,0.14932333333333334,0.010724408703878904,0.14046559129612107,0.13859892462945445,0.9333333333333333,30
2022-06-30,logistic_regression,逻辑回归,strict_top30,0.03999666666666667,0.03886333333333334,-0.09198092444861566,0.13197759111528234,0.130844257781949,0.5666666666666667,30
2021-12-31,decision_tree,决策树,strict_top30,0.08886333333333332,0.08686333333333332,-0.08374728013419602,0.17261061346752934,0.17061061346752934,1.0,30
2022-03-31,decision_tree,决策树,strict_top30,0.09361666666666667,0.09221666666666667,0.010724408703878904,0.08289225796278776,0.08149225796278776,0.7,30
2022-06-30,decision_tree,决策树,strict_top30,0.00351,0.00251,-0.09198092444861566,0.09549092444861566,0.09449092444861566,0.5,30
2021-12-31,random_forest,随机森林,strict_top30,0.2757133333333333,0.2737133333333333,-0.08374728013419602,0.35946061346752933,0.35746061346752933,1.0,30
2022-03-31,random_forest,随机森林,strict_top30,0.12592333333333333,0.12405666666666666,0.010724408703878904,0.11519892462945443,0.11333225796278776,0.9333333333333333,30
2022-06-30,random_forest,随机森林,strict_top30,0.05400666666666667,0.05240666666666667,-0.09198092444861566,0.14598759111528234,0.14438759111528232,0.8,30
2021-12-31,hist_gradient_boosting,梯度提升,strict_top30,0.12118999999999999,0.11918999999999999,-0.08374728013419602,0.20493728013419601,0.202937280134196,1.0,30
2022-03-31,hist_gradient_boosting,梯度提升,strict_top30,0.10637666666666666,0.10450999999999999,0.010724408703878904,0.09565225796278776,0.09378559129612109,0.9333333333333333,30
2022-06-30,hist_gradient_boosting,梯度提升,strict_top30,0.07328666666666667,0.07162,-0.09198092444861566,0.16526759111528233,0.16360092444861568,0.8333333333333334,30
2021-12-31,linear_regression,线性回归,buffer_top30_top50,0.15173999999999996,0.14973999999999996,-0.08374728013419602,0.23548728013419598,0.23348728013419598,1.0,30
2022-03-31,linear_regression,线性回归,buffer_top30_top50,0.16468333333333332,0.16288333333333332,0.010724408703878904,0.15395892462945443,0.1521589246294544,0.9,30
2022-06-30,linear_regression,线性回归,buffer_top30_top50,0.023950000000000003,0.023083333333333334,-0.09198092444861566,0.11593092444861566,0.115064257781949,0.43333333333333335,30
