Date,Code,Next_Ret,Next_Ret_Rank,Above_Quarter_Median,model,model_label,prediction,predicted_rank,portfolio,turnover
2022-03-31,600508,0.777,0.4940870387890255,1,linear_regression,线性回归,0.1391959334215481,16,strict_top30,0.9333333333333333
2022-03-31,002365,0.2283,0.397232734153264,1,linear_regression,线性回归,0.1372047792905451,17,strict_top30,0.9333333333333333
2022-03-31,603586,0.1515,0.32852412488174076,1,linear_regression,线性回归,0.1368926931419842,18,strict_top30,0.9333333333333333
2022-03-31,603928,0.1765,0.35501419110690635,1,linear_regression,线性回归,0.13674741442493737,19,strict_top30,0.9333333333333333
2022-03-31,600449,-0.0967,-0.23155156102175972,0,linear_regression,线性回归,0.13634350768704584,20,strict_top30,0.9333333333333333
2022-03-31,002696,-0.044,-0.07355723746452225,0,linear_regression,线性回归,0.13600920235346536,21,strict_top30,0.9333333333333333
2022-03-31,002635,0.3417,0.4508041627246925,1,linear_regression,线性回归,0.13450930790335125,22,strict_top30,0.9333333333333333
2022-03-31,603329,0.272,0.42395931882686855,1,linear_regression,线性回归,0.13364630899111365,23,strict_top30,0.9333333333333333
2022-03-31,603803,0.0747,0.21546830652790916,1,linear_regression,线性回归,0.1318027388283123,24,strict_top30,0.9333333333333333
2022-03-31,002485,-0.2487,-0.46144749290444653,0,linear_regression,线性回归,0.13172786564662223,25,strict_top30,0.9333333333333333
2022-03-31,600525,0.1099,0.2714049195837275,1,linear_regression,线性回归,0.13145405919320172,26,strict_top30,0.9333333333333333
2022-03-31,002358,0.0066,0.06918164616840117,1,linear_regression,线性回归,0.1300755321141918,27,strict_top30,0.9333333333333333
2022-03-31,603556,0.2964,0.4336565752128666,1,linear_regression,线性回归,0.12988065577786265,28,strict_top30,0.9333333333333333
2022-03-31,600232,-0.0232,-0.010052034058656567,0,linear_regression,线性回归,0.1294432708879543,29,strict_top30,0.9333333333333333
2022-03-31,300836,0.0404,0.14569536423841056,1,linear_regression,线性回归,0.1291629355826719,30,strict_top30,0.9333333333333333
2022-06-30,300105,0.0191,0.33599249178789303,1,linear_regression,线性回归,0.17490785904437944,1,strict_top30,0.5666666666666667
2022-06-30,000806,-0.0622,0.18242609103707175,1,linear_regression,线性回归,0.15599237211012715,2,strict_top30,0.5666666666666667
2022-06-30,002696,0.0136,0.32895354293758794,1,linear_regression,线性回归,0.15585947078284926,3,strict_top30,0.5666666666666667
2022-06-30,600287,-0.0241,0.26888784608165184,1,linear_regression,线性回归,0.14699554889561833,4,strict_top30,0.5666666666666667
2022-06-30,600387,0.2605,0.4667996245893946,1,linear_regression,线性回归,0.14610366475973782,5,strict_top30,0.5666666666666667
2022-06-30,002358,0.0262,0.3413890192397935,1,linear_regression,线性回归,0.14530486414150312,6,strict_top30,0.5666666666666667
2022-06-30,603586,0.0372,0.3568747067104646,1,linear_regression,线性回归,0.14390298010821442,7,strict_top30,0.5666666666666667
2022-06-30,002478,0.1623,0.43829188174565936,1,linear_regression,线性回归,0.14224596172172188,8,strict_top30,0.5666666666666667
2022-06-30,002193,0.0388,0.35910370717972784,1,linear_regression,线性回归,0.14220333370995644,9,strict_top30,0.5666666666666667
2022-06-30,002699,-0.0579,0.1952135147817926,1,linear_regression,线性回归,0.14096911290820996,10,strict_top30,0.5666666666666667
2022-06-30,603003,-0.1089,0.033317691224777124,1,linear_regression,线性回归,0.13983569273857194,11,strict_top30,0.5666666666666667
2022-06-30,300533,-0.0053,0.3019709056780854,1,linear_regression,线性回归,0.13786242419992573,12,strict_top30,0.5666666666666667
2022-06-30,600780,0.019,0.335523228531206,1,linear_regression,线性回归,0.13726727766468833,13,strict_top30,0.5666666666666667
2022-06-30,603086,0.4536,0.48686062881276393,1,linear_regression,线性回归,0.13640338101220956,14,strict_top30,0.5666666666666667
2022-06-30,600565,-0.0345,0.2450727358047865,1,linear_regression,线性回归,0.13511199304775312,15,strict_top30,0.5666666666666667
2022-06-30,000726,0.0406,0.3606288127639605,1,linear_regression,线性回归,0.1325782908344883,16,strict_top30,0.5666666666666667
2022-06-30,000543,0.1228,0.42221961520412954,1,linear_regression,线性回归,0.1316847938446109,17,strict_top30,0.5666666666666667
2022-06-30,605088,0.1231,0.42257156264664475,1,linear_regression,线性回归,0.1311419264323716,18,strict_top30,0.5666666666666667
2022-06-30,002661,-0.015,0.2866025340215861,1,linear_regression,线性回归,0.13111849969972794,19,strict_top30,0.5666666666666667
2022-06-30,003042,-0.1478,-0.11274049741905207,0,linear_regression,线性回归,0.13093612330540466,20,strict_top30,0.5666666666666667
2022-06-30,002871,0.264,0.4682074143594557,1,linear_regression,线性回归,0.13078109353696313,21,strict_top30,0.5666666666666667
2022-06-30,000616,0.0267,0.34185828249648054,1,linear_regression,线性回归,0.13051821661642296,22,strict_top30,0.5666666666666667
2022-06-30,002856,0.0499,0.3700140778977006,1,linear_regression,线性回归,0.12987398078304818,23,strict_top30,0.5666666666666667
2022-06-30,300495,0.2984,0.4736039418113561,1,linear_regression,线性回归,0.12972136601152323,24,strict_top30,0.5666666666666667
2022-06-30,000159,0.1672,0.43946503988737684,1,linear_regression,线性回归,0.12897193479883598,25,strict_top30,0.5666666666666667
2022-06-30,000892,-0.0532,0.20577193805725014,1,linear_regression,线性回归,0.12888919986779523,26,strict_top30,0.5666666666666667
2022-06-30,603585,-0.0396,0.23533552322853124,1,linear_regression,线性回归,0.127804211128259,27,strict_top30,0.5666666666666667
2022-06-30,002869,0.2487,0.46292820272172686,1,linear_regression,线性回归,0.12676107886267213,28,strict_top30,0.5666666666666667
2022-06-30,002718,-0.024,0.26923979352416705,1,linear_regression,线性回归,0.12595106146075152,29,strict_top30,0.5666666666666667
2022-06-30,603329,0.038,0.3578132332238386,1,linear_regression,线性回归,0.12587707312665394,30,strict_top30,0.5666666666666667
2021-12-31,000573,0.3774,0.47184279894560266,1,ridge,Ridge回归,0.1572196144799361,1,strict_top30,1.0
2021-12-31,002774,0.1905,0.42978672417924757,1,ridge,Ridge回归,0.15355142227452215,2,strict_top30,1.0
2021-12-31,000637,0.0725,0.34902947519769945,1,ridge,Ridge回归,0.15278223966438104,3,strict_top30,1.0
2021-12-31,002160,-0.0799,0.09621375509225971,1,ridge,Ridge回归,0.14254892733381697,4,strict_top30,1.0
2021-12-31,002615,-0.0358,0.19027078840162948,1,ridge,Ridge回归,0.13916084108126237,5,strict_top30,1.0
2021-12-31,002188,0.6538,0.49065420560747663,1,ridge,Ridge回归,0.13807591138091685,6,strict_top30,1.0
2021-12-31,002574,0.0366,0.3058950395398994,1,ridge,Ridge回归,0.13661929859164723,7,strict_top30,1.0
2021-12-31,603095,0.0123,0.27258566978193144,1,ridge,Ridge回归,0.13566735668035074,8,strict_top30,1.0
2021-12-31,002722,-0.0544,0.15132997843278218,1,ridge,Ridge回归,0.13440964456688348,9,strict_top30,1.0
2021-12-31,600569,0.0535,0.3271028037383178,1,ridge,Ridge回归,0.13415447632741184,10,strict_top30,1.0
2021-12-31,300609,-0.0201,0.22166307213036185,1,ridge,Ridge回归,0.13311313849321219,11,strict_top30,1.0
2021-12-31,000965,2.2885,0.49904145698538227,1,ridge,Ridge回归,0.13232014603124617,12,strict_top30,1.0
2021-12-31,000726,-0.0093,0.24047447879223582,1,ridge,Ridge回归,0.13072414158240783,13,strict_top30,1.0
2021-12-31,002910,0.1536,0.4103762281332375,1,ridge,Ridge回归,0.13068054919319189,14,strict_top30,1.0
2021-12-31,002345,-0.147,-0.07320872274143303,0,ridge,Ridge回归,0.13067521968663653,15,strict_top30,1.0
2021-12-31,601518,0.0185,0.2821710999281093,1,ridge,Ridge回归,0.1300805688091445,16,strict_top30,1.0
2021-12-31,000761,0.0262,0.29319434459621374,1,ridge,Ridge回归,0.1279507300613025,17,strict_top30,1.0
