model,model_label,task_type,target,selected_candidate,validation_mean_ic,validation_minimum_ic,native_metric,validation_native_metric,test_native_metric,mae,rmse,r2,auc,brier,mean_test_ic,minimum_test_ic,positive_test_ic_ratio,strategy_model
linear_regression,线性回归,rank_regression,Next_Ret_Rank,ordinary least squares,0.12880178912593565,-0.03931710328343276,rank_target_R2,0.00453758252020009,0.06761461266448188,0.23982145743465444,0.27874497627617945,0.06761461266448188,,,0.27327792786806376,0.23768358523149882,1.0,True
ridge,Ridge回归,rank_regression,Next_Ret_Rank,alpha=10,0.13150581487828836,-0.03938913600764083,rank_target_R2,0.005605571751408522,0.06808569312386803,0.23977445605338704,0.2786745505147639,0.06808569312386803,,,0.27405485663878465,0.24048792505901043,1.0,False
logistic_regression,逻辑回归,classification,Above_Quarter_Median,C=0.01,0.12579186600320497,-0.047400799292183694,AUC,0.5676630664730543,0.6332128064641982,,,,0.6332128064641982,0.23788179586769978,0.26252130930215395,0.25329559832866705,1.0,False
decision_tree,决策树,rank_regression,Next_Ret_Rank,"depth=4,leaf=250",0.11373576272730912,-0.052224114037867087,rank_target_R2,-0.007285357450266557,0.04992318457131428,0.24188634519400584,0.28137705500816335,0.04992318457131428,,,0.23541054272501147,0.1951917872914784,1.0,False
random_forest,随机森林,rank_regression,Next_Ret_Rank,"depth=5,leaf=20,features=0.5",0.1297951035543307,-0.05083161876143484,rank_target_R2,0.006479649261270759,0.061507848505283125,0.24081210074490192,0.27965632243585425,0.061507848505283125,,,0.2595461198253266,0.23497025716401085,1.0,False
hist_gradient_boosting,梯度提升,rank_regression,Next_Ret_Rank,"leaves=15,l2=10",0.12722490327076727,-0.03568655324382959,rank_target_R2,0.003180116276184456,0.06495068404345483,0.23993945919795495,0.27914289493456573,0.06495068404345483,,,0.2576285156796106,0.2251029499170082,1.0,False
