feature,type,direction_from_train,train_auc,validation_auc,development_auc,min_holdout_auc,mean_holdout_auc,stable_direction,max_ks_shift,train_monthly_cs_auc,validation_monthly_cs_auc,development_monthly_cs_auc,status
intraday_range,stock_level,-1,0.51336118491736,0.5530751088534107,0.5423245474977629,0.5423245474977629,0.5476998281755868,True,0.22784534720582583,0.5118595064467656,0.5449440013463618,0.6035355709287009,候选保留
ma5_gap,stock_level,-1,0.5209359884736199,0.5384687953555878,0.533008532194768,0.533008532194768,0.5357386637751779,True,0.15378118717921607,0.5120297066040492,0.531543141529884,0.4582213553982224,候选保留
return_1d,stock_level,-1,0.5060122364376505,0.5333109579100145,0.531905899262328,0.531905899262328,0.5326084285861712,True,0.16048419858315757,0.49847351590700945,0.5144523850554624,0.4538152623076188,候选保留
open_close_return,stock_level,-1,0.5235623568671753,0.54105587808418,0.5283091317734424,0.5283091317734424,0.5346825049288112,True,0.17702739374909365,0.5023821161170274,0.5469749036833192,0.48349611447654883,候选保留
return_10d,stock_level,-1,0.5204286559242625,0.5081712626995646,0.5295526762627436,0.5081712626995646,0.518861969481154,True,0.12772172248390332,0.5167959060086966,0.4784687723642055,0.46881146584249456,候选保留
return_5d,stock_level,-1,0.5230618776823732,0.5060812772133527,0.5200587601192113,0.5060812772133527,0.513070018666282,True,0.1513191771301821,0.5106649188162138,0.4938705053522002,0.46314640344435193,候选保留
rsi14,stock_level,-1,0.5458473567246008,0.5020065312046444,0.5267273995476739,0.5020065312046444,0.5143669653761591,True,0.20088476542488087,0.520008274304049,0.47378287606504993,0.4533783581034396,候选保留
atr14_pct,stock_level,-1,0.5255112212218349,0.5645283018867925,0.5938365285028852,0.5645283018867925,0.5791824151948388,True,0.2860609679393742,0.5148241971643449,0.5941781457446933,0.5986725580874096,方向稳定但分布漂移
volatility20,stock_level,-1,0.5272820816703216,0.5604462989840349,0.6117146822796672,0.5604462989840349,0.5860804906318511,True,0.2828380590738706,0.5113183427386996,0.5811023370163576,0.5962218581759993,方向稳定但分布漂移
market_breadth_20d,market_state,-1,0.5161451195049325,0.5106259071117563,0.626091183868445,0.5106259071117563,0.5683585454901006,True,0.3443939923157527,,,,方向稳定但分布漂移
market_median_return_20d,market_state,-1,0.5075757214175841,0.50797351233672,0.6421515785617157,0.50797351233672,0.5750625454492178,True,0.3264058679706601,,,,方向稳定但分布漂移
market_median_return_5d,market_state,-1,0.5287911680690975,0.5018196661828738,0.5447640788259248,0.5018196661828738,0.5232918725043993,True,0.39661194551170104,,,,方向稳定但分布漂移
ma60_gap,stock_level,-1,0.5515712623248887,0.4957692307692308,0.5301867782686197,0.4957692307692308,0.5129780045189253,False,0.2096808618246372,0.5215330819201867,0.45751172495053266,0.4349511321515814,暂不优先
ma20_gap,stock_level,-1,0.5283086177754982,0.4932656023222061,0.5182867972916798,0.4932656023222061,0.505776199806943,False,0.15033303096973602,0.5125756301799107,0.4628984151972814,0.43661707077750506,暂不优先
macd_pct,stock_level,-1,0.547388262315955,0.48233671988388965,0.5327478458145745,0.48233671988388965,0.5075422828492321,False,0.1814301067067432,0.5252375883733661,0.44550635779884457,0.44653939849977775,暂不优先
volume_ratio20,stock_level,1,0.5016036261151863,0.48011248185776484,0.5333713794536858,0.48011248185776484,0.5067419306557254,False,0.13914776021246417,0.4988484140295496,0.5369501428857117,0.48234967963372205,暂不优先
return_20d,stock_level,-1,0.5249492453283,0.4747314949201741,0.5419916439446781,0.4747314949201741,0.5083615694324262,False,0.14206478873884917,0.5259527514660148,0.43873384892999284,0.435602573390699,暂不优先
excess_return_5d,stock_level,-1,0.5063899057772517,0.5055859941944848,0.47354737798820573,0.47354737798820573,0.48956668609134524,False,0.05930022225387676,0.5106649188162138,0.4938705053522002,0.46314640344435193,暂不优先
amount_ratio20,stock_level,-1,0.5001471637656741,0.5175544267053702,0.46571974100455843,0.46571974100455843,0.4916370838549643,False,0.1418145285763061,0.502998194995264,0.46070751938242566,0.5065655584379767,暂不优先
excess_return_20d,stock_level,-1,0.5250190027889522,0.44979136429608124,0.45204075162224433,0.44979136429608124,0.4509160579591628,False,0.06863299881425573,0.5259527514660148,0.43873384892999284,0.435602573390699,暂不优先
return_20d_rank,stock_level,-1,0.5203952457720553,0.4485141509433962,0.44764783383709217,0.44764783383709217,0.4480809923902442,False,0.009075981866040595,0.5259527514660148,0.43873384892999284,0.435602573390699,暂不优先
market_dispersion_20d,market_state,1,0.5152070652314252,0.4285359216255442,0.5136684210155495,0.4285359216255442,0.4711021713205469,False,0.33224352832745013,,,,暂不优先
