top_n,weight_method,power,weight_cap,validation_total_return,validation_sharpe,validation_max_drawdown,validation_average_turnover,selection_score
20,ew,1.0,0.05,0.27382661142347464,3.022111308503914,0.0,0.8333333333333336,3.022111308503914
20,ew,1.0,0.08,0.27382661142347464,3.022111308503914,0.0,0.8333333333333336,3.022111308503914
20,ew,1.0,0.1,0.27382661142347464,3.022111308503914,0.0,0.8333333333333336,3.022111308503914
20,ew,1.0,0.15,0.27382661142347464,3.022111308503914,0.0,0.8333333333333336,3.022111308503914
20,rank_pw,0.5,0.05,0.27382661142347464,3.0221113085039155,0.0,0.8333333333333336,3.0221113085039155
20,rank_pw,0.5,0.08,0.2650775901343634,3.4427794063415518,0.0,0.8409979435786733,3.4427794063415518
20,rank_pw,0.5,0.1,0.2650775901343634,3.4427794063415518,0.0,0.8409979435786733,3.4427794063415518
20,rank_pw,0.5,0.15,0.2650775901343634,3.4427794063415518,0.0,0.8409979435786733,3.4427794063415518
20,rank_pw,1.0,0.05,0.27382661142347464,3.0221113085039155,0.0,0.8333333333333336,3.0221113085039155
20,rank_pw,1.0,0.08,0.2591027765564682,3.84254611135843,0.0,0.8449999999999999,3.84254611135843
20,rank_pw,1.0,0.1,0.2597432745160282,3.583797750458871,0.0,0.8428571428571429,3.583797750458871
20,rank_pw,1.0,0.15,0.2597432745160282,3.583797750458871,0.0,0.8428571428571429,3.583797750458871
20,rank_pw,2.0,0.05,0.27382661142347464,3.0221113085039155,0.0,0.8333333333333336,3.0221113085039155
20,rank_pw,2.0,0.08,0.2589099843754288,5.077157820710705,0.0,0.8578871794871796,5.077157820710705
20,rank_pw,2.0,0.1,0.25312522756316547,3.842737799592845,0.0,0.843951612903226,3.842737799592845
20,rank_pw,2.0,0.15,0.25409706261792175,3.093145757097788,0.0,0.8377468060394889,3.093145757097788
20,score_pw,0.5,0.05,0.27382661142347464,3.0221113085039155,0.0,0.8333333333333336,3.0221113085039155
20,score_pw,0.5,0.08,0.272343539106644,3.723382316918237,0.0,0.8420636876327668,3.723382316918237
20,score_pw,0.5,0.1,0.26911692031264867,3.3816031464171217,0.0,0.8393889324585203,3.3816031464171217
20,score_pw,0.5,0.15,0.26575771074361865,3.293475065717389,0.0,0.8398431891419791,3.293475065717389
20,score_pw,1.0,0.05,0.27382661142347464,3.0221113085039155,0.0,0.8333333333333336,3.0221113085039155
20,score_pw,1.0,0.08,0.27331017916444744,4.094327810010374,0.0,0.8467633108843998,4.094327810010374
20,score_pw,1.0,0.1,0.2728741629652447,4.031129264152104,0.0,0.8403080298177971,4.031129264152104
20,score_pw,1.0,0.15,0.2697451660729713,2.9509737999485632,0.0,0.8345750921998313,2.9509737999485632
20,score_pw,2.0,0.05,0.27382661142347464,3.0221113085039155,0.0,0.8333333333333336,3.0221113085039155
20,score_pw,2.0,0.08,0.26254459779312755,4.687311281314491,0.0,0.8559501089884533,4.687311281314491
20,score_pw,2.0,0.1,0.2859094256821466,4.643233514645002,0.0,0.8430838547342999,4.643233514645002
20,score_pw,2.0,0.15,0.2785407385012979,3.2865706770738448,0.0,0.8309909462228147,3.2865706770738448
30,ew,1.0,0.05,0.3658205684759537,4.8897699813251,0.0,0.8111111111111114,4.8897699813251
30,ew,1.0,0.08,0.3658205684759537,4.8897699813251,0.0,0.8111111111111114,4.8897699813251
30,ew,1.0,0.1,0.3658205684759537,4.8897699813251,0.0,0.8111111111111114,4.8897699813251
30,ew,1.0,0.15,0.3658205684759537,4.8897699813251,0.0,0.8111111111111114,4.8897699813251
30,rank_pw,0.5,0.05,0.3257071282174735,4.360743745750569,0.0,0.8226113224011877,4.360743745750569
30,rank_pw,0.5,0.08,0.3257071282174735,4.360743745750569,0.0,0.8226113224011877,4.360743745750569
30,rank_pw,0.5,0.1,0.3257071282174735,4.360743745750569,0.0,0.8226113224011877,4.360743745750569
30,rank_pw,0.5,0.15,0.3257071282174735,4.360743745750569,0.0,0.8226113224011877,4.360743745750569
30,rank_pw,1.0,0.05,0.3039947960377971,4.3020692229432305,0.0,0.8301587301587302,4.3020692229432305
30,rank_pw,1.0,0.08,0.29944099226265886,4.010998661632042,0.0,0.828673835125448,4.010998661632042
30,rank_pw,1.0,0.1,0.29944099226265886,4.010998661632042,0.0,0.828673835125448,4.010998661632042
30,rank_pw,1.0,0.15,0.29944099226265886,4.010998661632042,0.0,0.828673835125448,4.010998661632042
30,rank_pw,2.0,0.05,0.2919738772545226,3.830363016178438,0.0,0.8284946236559141,3.830363016178438
30,rank_pw,2.0,0.08,0.27257104536519283,3.784453472330146,0.0,0.8361577681577682,3.784453472330146
30,rank_pw,2.0,0.1,0.2722362609773872,3.564887394630437,0.0,0.8340560549973558,3.564887394630437
30,rank_pw,2.0,0.15,0.2722362609773872,3.564887394630437,0.0,0.8340560549973558,3.564887394630437
30,score_pw,0.5,0.05,0.3216631441815203,4.3007394149377705,0.0,0.8263761689938516,4.3007394149377705
30,score_pw,0.5,0.08,0.31576645387537616,3.909093020752252,0.0,0.8280965292962364,3.909093020752252
30,score_pw,0.5,0.1,0.31392739945347237,3.842841817824011,0.0,0.8287611802161393,3.842841817824011
