Date,Code,Next_Ret,Next_Ret_Rank,Above_Quarter_Median,model,model_label,prediction,predicted_rank,weight,top_n,weight_method,power,weight_cap,turnover,portfolio_label
2022-03-31,600387,0.016,0.0870387890255439,1,linear_regression,线性回归,0.1497507620904293,4,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,000525,0.8162,0.4947965941343425,1,linear_regression,线性回归,0.149250155839763,5,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,603086,0.3559,0.4548249763481551,1,linear_regression,线性回归,0.1491723994645017,6,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,002343,0.1595,0.3394039735099338,1,linear_regression,线性回归,0.1472365498166001,7,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,000404,0.129,0.3019157994323557,1,linear_regression,线性回归,0.1466778035079199,8,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,002478,0.0198,0.1005203405865657,1,linear_regression,线性回归,0.1448532121966259,9,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,002328,0.1858,0.3651844843897823,1,linear_regression,线性回归,0.1444253167324713,10,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,600287,-0.0496,-0.0929517502365184,0,linear_regression,线性回归,0.1442590039107208,11,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,002718,0.0449,0.1563386944181646,1,linear_regression,线性回归,0.1424916890030717,12,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,603585,0.1443,0.3195364238410596,1,linear_regression,线性回归,0.1420297612538131,13,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,002133,-0.1499,-0.3528855250709555,0,linear_regression,线性回归,0.1416503616612777,14,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,000726,0.1299,0.3025070955534531,1,linear_regression,线性回归,0.1399742536865487,15,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,600508,0.777,0.4940870387890255,1,linear_regression,线性回归,0.1391959334215481,16,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,002365,0.2283,0.397232734153264,1,linear_regression,线性回归,0.1372047792905451,17,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,603586,0.1515,0.3285241248817407,1,linear_regression,线性回归,0.1368926931419842,18,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,603928,0.1765,0.3550141911069063,1,linear_regression,线性回归,0.1367474144249373,19,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,600449,-0.0967,-0.2315515610217597,0,linear_regression,线性回归,0.1363435076870458,20,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,002696,-0.044,-0.0735572374645222,0,linear_regression,线性回归,0.1360092023534653,21,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,002635,0.3417,0.4508041627246925,1,linear_regression,线性回归,0.1345093079033512,22,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,603329,0.272,0.4239593188268685,1,linear_regression,线性回归,0.1336463089911136,23,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,603803,0.0747,0.2154683065279091,1,linear_regression,线性回归,0.1318027388283123,24,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,002485,-0.2487,-0.4614474929044465,0,linear_regression,线性回归,0.1317278656466222,25,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,600525,0.1099,0.2714049195837275,1,linear_regression,线性回归,0.1314540591932017,26,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,002358,0.0066,0.0691816461684011,1,linear_regression,线性回归,0.1300755321141918,27,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,603556,0.2964,0.4336565752128666,1,linear_regression,线性回归,0.1298806557778626,28,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,600232,-0.0232,-0.0100520340586565,0,linear_regression,线性回归,0.1294432708879543,29,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-03-31,300836,0.0404,0.1456953642384105,1,linear_regression,线性回归,0.1291629355826719,30,0.03333333333333333,30,ew,1.0,0.1,0.9333333333333346,EW_Top30
2022-06-30,300105,0.0191,0.335992491787893,1,linear_regression,线性回归,0.1749078590443794,1,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,000806,-0.0622,0.1824260910370717,1,linear_regression,线性回归,0.1559923721101271,2,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,002696,0.0136,0.3289535429375879,1,linear_regression,线性回归,0.1558594707828492,3,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,600287,-0.0241,0.2688878460816518,1,linear_regression,线性回归,0.1469955488956183,4,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,600387,0.2605,0.4667996245893946,1,linear_regression,线性回归,0.1461036647597378,5,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,002358,0.0262,0.3413890192397935,1,linear_regression,线性回归,0.1453048641415031,6,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,603586,0.0372,0.3568747067104646,1,linear_regression,线性回归,0.1439029801082144,7,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,002478,0.1623,0.4382918817456593,1,linear_regression,线性回归,0.1422459617217218,8,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,002193,0.0388,0.3591037071797278,1,linear_regression,线性回归,0.1422033337099564,9,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,002699,-0.0579,0.1952135147817926,1,linear_regression,线性回归,0.1409691129082099,10,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,603003,-0.1089,0.0333176912247771,1,linear_regression,线性回归,0.1398356927385719,11,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,300533,-0.0053,0.3019709056780854,1,linear_regression,线性回归,0.1378624241999257,12,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,600780,0.019,0.335523228531206,1,linear_regression,线性回归,0.1372672776646883,13,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,603086,0.4536,0.4868606288127639,1,linear_regression,线性回归,0.1364033810122095,14,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,600565,-0.0345,0.2450727358047865,1,linear_regression,线性回归,0.1351119930477531,15,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,000726,0.0406,0.3606288127639605,1,linear_regression,线性回归,0.1325782908344883,16,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,000543,0.1228,0.4222196152041295,1,linear_regression,线性回归,0.1316847938446109,17,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,605088,0.1231,0.4225715626466447,1,linear_regression,线性回归,0.1311419264323716,18,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
2022-06-30,002661,-0.015,0.2866025340215861,1,linear_regression,线性回归,0.1311184996997279,19,0.03333333333333333,30,ew,1.0,0.1,0.5666666666666668,EW_Top30
