portfolio_label,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,quarter_count,average_turnover,top_n,weight_method,power,weight_cap
EW_Top30,0.41458981056256383,0.5879641760198195,0.11030334463214175,4.477873686348018,0.0,1.0,3,0.8333333333333338,30,ew,1.0,0.1
PW_Top30,0.46277545457129454,0.6604923750440064,0.15683397653382936,3.4941335108492306,0.0,1.0,3,0.8594982078853047,30,rank_pw,1.0,0.1
Validation_Selected,0.46342196086125464,0.6614709693833962,0.18751411955631112,2.9422936763940304,0.0,1.0,3,0.879548717948718,20,rank_pw,2.0,0.08
