candidate,feature_set,scaler,C,class_weight_balanced,window,validation_auc,test_auc
validation_winner,trend4,standard,0.001,True,60,0.7518796992481204,0.5383755588673621
existing_baseline,compact4,standard,0.1,False,180,0.6233082706766917,0.5711624441132637
