feature,lower_0_5pct,upper_99_5pct
return_1d,-0.08448418999999992,0.09982035000000004
return_5d,-0.16393347989827045,0.20702646860662738
return_10d,-0.21549450367769232,0.3021769596291483
return_20d,-0.2723217742925022,0.44639689628624923
ma5_gap,-0.089607259466249,0.0974883661361769
ma20_gap,-0.17516975313820082,0.22507654116152026
ma60_gap,-0.2633706393926383,0.4216292827974607
rsi14,0.21168567764370508,0.808878099064124
macd_pct,-0.09174084363448483,0.07783960479745343
atr14_pct,0.008334448935864752,0.08178936932633883
volatility20,0.0044581147615892,0.05566210161811833
volume_ratio20,0.35886355603970865,3.327468157222678
amount_ratio20,0.33674546541378686,3.4993298404433983
intraday_range,0.005375670840787026,0.10845863872776067
open_close_return,-0.06584890605266423,0.08530037925140334
