股票名称,代码,行业,板块,交易日数,期初收盘价,期末收盘价,区间最高,区间最低,区间涨跌幅(%),年化波动率(%),最大回撤(%),日均成交量(万手)
平安银行,000001,银行金融,深交所主板,241,11.47,10.23,12.58,10.09,-10.81,16.44,19.79,105
贵州茅台,600519,白酒消费,上交所主板,241,1357.54,1168.63,1526.98,1168.63,-13.92,20.81,23.47,4
比亚迪,002594,新能源汽车,深交所主板,241,109.31,78.20,114.06,78.20,-28.46,27.50,31.44,45
中国平安,601318,保险金融,上交所主板,241,52.78,47.23,72.57,47.23,-10.52,26.80,34.92,79
宁德时代,300750,电池储能,创业板,241,244.31,381.00,460.00,242.54,+55.95,39.13,17.17,32
