model,model_label,fpr,tpr,threshold,auc
logistic_regression,逻辑回归,0.0,0.0,1.6957631468495005,0.5086519757280143
logistic_regression,逻辑回归,0.0,0.003745318352059925,0.6957631468495005,0.5086519757280143
logistic_regression,逻辑回归,0.003875968992248062,0.003745318352059925,0.6940447449566934,0.5086519757280143
logistic_regression,逻辑回归,0.003875968992248062,0.02247191011235955,0.6762746688657464,0.5086519757280143
logistic_regression,逻辑回归,0.015503875968992248,0.02247191011235955,0.6719917787086966,0.5086519757280143
logistic_regression,逻辑回归,0.015503875968992248,0.033707865168539325,0.6578510239338049,0.5086519757280143
logistic_regression,逻辑回归,0.01937984496124031,0.033707865168539325,0.6545616750359388,0.5086519757280143
logistic_regression,逻辑回归,0.01937984496124031,0.03745318352059925,0.6537051979393925,0.5086519757280143
logistic_regression,逻辑回归,0.023255813953488372,0.03745318352059925,0.6532330658873238,0.5086519757280143
logistic_regression,逻辑回归,0.023255813953488372,0.0599250936329588,0.644962456488109,0.5086519757280143
logistic_regression,逻辑回归,0.027131782945736434,0.0599250936329588,0.642007970496674,0.5086519757280143
logistic_regression,逻辑回归,0.027131782945736434,0.07116104868913857,0.638668620075015,0.5086519757280143
logistic_regression,逻辑回归,0.031007751937984496,0.07116104868913857,0.6377793253191827,0.5086519757280143
logistic_regression,逻辑回归,0.031007751937984496,0.07865168539325842,0.6325996720479228,0.5086519757280143
logistic_regression,逻辑回归,0.03875968992248062,0.07865168539325842,0.6319797274382881,0.5086519757280143
logistic_regression,逻辑回归,0.03875968992248062,0.08614232209737828,0.6296288066308638,0.5086519757280143
logistic_regression,逻辑回归,0.04263565891472868,0.08614232209737828,0.6295028121087805,0.5086519757280143
logistic_regression,逻辑回归,0.04263565891472868,0.09363295880149813,0.6266486638316213,0.5086519757280143
logistic_regression,逻辑回归,0.046511627906976744,0.09363295880149813,0.6263321902339835,0.5086519757280143
logistic_regression,逻辑回归,0.046511627906976744,0.09737827715355805,0.6248120501446975,0.5086519757280143
logistic_regression,逻辑回归,0.050387596899224806,0.09737827715355805,0.6238479792812636,0.5086519757280143
logistic_regression,逻辑回归,0.050387596899224806,0.10486891385767791,0.6230162906582541,0.5086519757280143
