model,model_label,candidate,candidate_order,parameters,selection_score_mean_auc,selection_score_min_auc,validation_auc,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_tn,validation_fp,validation_fn,validation_tp,validation_threshold,validation_mean_monthly_auc,development_auc,development_accuracy,development_precision,development_recall,development_f1,development_tn,development_fp,development_fn,development_tp,development_threshold,development_mean_monthly_auc
logistic_regression,逻辑回归,C=0.01,0,"{""C"": 0.01}",0.6638911491327135,0.5752944515396622,0.752487846725765,0.6843100189035917,0.6624203821656051,0.7732342007434945,0.7135506003430531,154,106,61,208,0.5,0.7507115489874111,0.5752944515396622,0.559322033898305,0.5588235294117647,0.6333333333333333,0.59375,126,135,99,171,0.5,0.571264367816092
logistic_regression,逻辑回归,C=0.1,1,"{""C"": 0.1}",0.6536742860419312,0.5717752234993614,0.7355733485845011,0.667296786389414,0.654485049833887,0.7323420074349443,0.6912280701754385,156,104,72,197,0.5,0.7318098887064404,0.5717752234993614,0.5574387947269304,0.5581395348837209,0.6222222222222222,0.5884413309982486,128,133,102,168,0.5,0.5644955300127714
logistic_regression,逻辑回归,C=1,2,"{""C"": 1.0}",0.650800555435645,0.5717326521924224,0.7298684586788675,0.6578449905482041,0.6476510067114094,0.7174721189591078,0.6807760141093474,155,105,76,193,0.5,0.7264276591862799,0.5717326521924224,0.5536723163841808,0.5551839464882943,0.6148148148148148,0.5834797891036907,128,133,104,166,0.5,0.5646232439335888
decision_tree,决策树,"depth=3,leaf=50",0,"{""max_depth"": 3, ""min_samples_leaf"": 50}",0.5408515540637134,0.5277068255995458,0.553996282527881,0.5482041587901701,0.5409836065573771,0.7360594795539034,0.6236220472440945,92,168,71,198,0.5,0.5532658274037584,0.5277068255995458,0.5329566854990584,0.53125,0.6925925925925925,0.6012861736334405,96,165,83,187,0.5,0.5240740740740741
decision_tree,决策树,"depth=5,leaf=30",1,"{""max_depth"": 5, ""min_samples_leaf"": 30}",0.5322937834894992,0.5080105009223784,0.5565770660566199,0.4952741020793951,0.5047619047619047,0.3940520446096654,0.44258872651356995,156,104,163,106,0.5,0.5575989782886335,0.5080105009223784,0.4915254237288136,0.5,0.37777777777777777,0.43037974683544306,159,102,168,102,0.5,0.5035759897828863
decision_tree,决策树,"depth=7,leaf=20",2,"{""max_depth"": 7, ""min_samples_leaf"": 20}",0.5053457343213642,0.48724279835390943,0.523448670288819,0.4839319470699433,0.49130434782608695,0.4200743494423792,0.45290581162324656,143,117,156,113,0.5,0.5334656084656084,0.48724279835390943,0.4576271186440678,0.4645669291338583,0.43703703703703706,0.450381679389313,125,136,152,118,0.5,0.48831417624521073
random_forest,随机森林,"depth=5,leaf=20,features=sqrt",0,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""max_features"": ""sqrt"", ""max_samples"": 0.8, ""min_samples_leaf"": 20, ""n_estimators"": 400}",0.6600114882877777,0.5935717326521924,0.7264512439233629,0.6597353497164461,0.6430868167202572,0.7434944237918215,0.689655172413793,149,111,69,200,0.5,0.7315727057106368,0.5935717326521924,0.591337099811676,0.5852090032154341,0.674074074074074,0.6265060240963857,132,129,88,182,0.5,0.5855683269476373
random_forest,随机森林,"depth=8,leaf=15,features=sqrt",1,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""max_samples"": 0.8, ""min_samples_leaf"": 15, ""n_estimators"": 400}",0.6391405510101119,0.5811692918972612,0.6971118101229626,0.6521739130434783,0.6332288401253918,0.7509293680297398,0.6870748299319728,143,117,67,202,0.5,0.7027914614121511,0.5811692918972612,0.5781544256120528,0.5751633986928104,0.6518518518518519,0.611111111111111,131,130,94,176,0.5,0.5730523627075351
random_forest,随机森林,"depth=10,leaf=10,features=0.7",2,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": 0.7, ""max_samples"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 400}",0.5832578292188171,0.5507449978714347,0.6157706605661996,0.5803402646502835,0.5780730897009967,0.6468401486988847,0.6105263157894736,133,127,95,174,0.5,0.6186097427476738,0.5507449978714347,0.5536723163841808,0.5578947368421052,0.5888888888888889,0.5729729729729729,135,126,111,159,0.5,0.5498084291187739
