Date,Symbol,Name,label_end_date,Split,return_1d,return_5d,return_20d,return_60d,return_120d,momentum_12_1,ma20_gap,ma60_gap,ma120_gap,rsi14,macd_pct,atr14_pct,volatility20,volatility60,downside_volatility60,max_drawdown60,volume_ratio20,amount_ratio20,intraday_range,open_close_return,amihud20,amount_mean20_log,future_return_60d,future_return_rank,Label
2018-02-28,000001.SZ,000001.SZ,2018-05-29,train,-0.3295454545454546,-0.15909090909090912,-0.34090909090909094,-0.3977272727272727,-0.17045454545454547,0.022727272727272707,-0.40909090909090906,-0.40909090909090906,-0.2954545454545454,-0.4431818181818182,-0.3522727272727273,-0.11363636363636365,-0.10227272727272729,-0.15909090909090912,-0.011363636363636354,-0.04545454545454547,-0.07954545454545453,-0.125,-0.3295454545454546,-0.18181818181818182,-0.3181818181818182,0.31818181818181823,-0.13850948434331034,0.29545454545454547,0
2018-02-28,000002.SZ,000002.SZ,2018-05-29,train,0.05681818181818177,-0.3181818181818182,-0.42045454545454547,0.06818181818181823,0.2954545454545454,0.30681818181818177,-0.3068181818181818,-0.17045454545454547,0.125,-0.2954545454545454,-0.25,0.28409090909090906,-0.11363636363636365,0.15909090909090906,0.07954545454545459,-0.1477272727272727,0.20454545454545459,0.13636363636363635,0.13636363636363635,-0.022727272727272707,-0.21590909090909088,0.26136363636363635,-0.21721771355711417,0.09090909090909091,0
2018-02-28,000063.SZ,000063.SZ,2018-07-24,train,0.06818181818181823,0.21590909090909094,-0.19318181818181818,-0.36363636363636365,0.26136363636363635,0.4545454545454546,0.3295454545454546,-0.3068181818181818,-0.15909090909090912,0.23863636363636365,-0.23863636363636365,-0.19318181818181818,0.21590909090909094,0.17045454545454541,0.3295454545454546,-0.3181818181818182,-0.06818181818181818,0.06818181818181823,-0.11363636363636365,0.03409090909090906,-0.3522727272727273,0.38636363636363635,-0.48271181229933446,0.011363636363636364,0
2018-02-28,000333.SZ,000333.SZ,2018-05-29,train,0.20454545454545459,-0.45454545454545453,0.045454545454545414,0.0,0.19318181818181823,0.25,-0.022727272727272707,-0.09090909090909088,0.09090909090909094,-0.07954545454545453,-0.034090909090909116,-0.15909090909090912,-0.17045454545454547,-0.1477272727272727,-0.125,0.20454545454545459,0.15909090909090906,0.18181818181818177,0.045454545454545414,0.10227272727272729,-0.23863636363636365,0.2727272727272727,-0.04201568735698513,0.7272727272727273,1
2018-02-28,000425.SZ,000425.SZ,2018-05-29,train,-0.10227272727272729,0.07954545454545459,-0.05681818181818182,0.2954545454545454,-0.011363636363636354,-0.2727272727272727,0.022727272727272707,-0.05681818181818182,0.045454545454545414,-0.09090909090909088,-0.17045454545454547,-0.2954545454545454,-0.26136363636363635,-0.19318181818181818,-0.25,0.125,-0.13636363636363635,-0.1477272727272727,-0.2954545454545454,-0.34090909090909094,0.375,-0.4772727272727273,-0.004666043191155711,0.7954545454545454,1
2018-02-28,000568.SZ,000568.SZ,2018-05-29,train,-0.4431818181818182,-0.3295454545454546,-0.2954545454545454,-0.3068181818181818,-0.05681818181818182,0.20454545454545459,-0.13636363636363635,-0.3977272727272727,-0.3522727272727273,-0.34090909090909094,-0.3295454545454546,0.09090909090909094,-0.07954545454545453,-0.05681818181818182,-0.06818181818181818,-0.19318181818181818,0.125,0.09090909090909094,0.31818181818181823,-0.3068181818181818,0.36363636363636365,-0.3522727272727273,0.1549681990870886,0.9659090909090909,1
2018-02-28,000671.SZ,000671.SZ,2018-05-29,train,0.36363636363636365,-0.19318181818181818,-0.3522727272727273,0.4545454545454546,0.36363636363636365,0.17045454545454541,-0.19318181818181818,0.2272727272727273,0.28409090909090906,0.03409090909090906,-0.09090909090909088,0.48863636363636365,0.375,0.36363636363636365,0.31818181818181823,-0.2954545454545454,-0.04545454545454547,-0.06818181818181818,0.4545454545454546,0.36363636363636365,0.4545454545454546,-0.34090909090909094,-0.23633258949177627,0.06818181818181818,0
2018-02-28,000725.SZ,000725.SZ,2018-05-29,train,-0.034090909090909116,0.05681818181818177,-0.28409090909090906,0.045454545454545414,0.4204545454545454,0.38636363636363635,0.13636363636363635,-0.13636363636363635,0.0,0.022727272727272707,-0.18181818181818182,-0.011363636363636354,0.18181818181818177,0.05681818181818177,0.125,-0.18181818181818182,-0.19318181818181818,-0.17045454545454547,-0.06818181818181818,0.06818181818181823,-0.4431818181818182,0.46590909090909094,-0.3128712871287128,0.022727272727272728,0
2018-02-28,000732.SZ,000732.SZ,2018-05-29,train,0.4545454545454546,0.40909090909090906,-0.48863636363636365,0.5,0.4772727272727273,0.44318181818181823,0.05681818181818177,0.4772727272727273,0.48863636363636365,0.2954545454545454,0.13636363636363635,0.4545454545454546,0.36363636363636365,0.5,0.34090909090909094,-0.4772727272727273,0.40909090909090906,0.38636363636363635,0.48863636363636365,0.4772727272727273,0.13636363636363635,0.011363636363636354,-0.28215766504506523,0.03409090909090909,0
2018-02-28,000807.SZ,000807.SZ,2018-05-29,train,0.2727272727272727,0.3977272727272727,-0.45454545454545453,-0.4772727272727273,-0.45454545454545453,0.03409090909090906,0.125,-0.25,-0.48863636363636365,0.045454545454545414,-0.42045454545454547,0.3977272727272727,0.4204545454545454,0.44318181818181823,0.5,-0.42045454545454547,0.375,0.375,0.2272727272727273,0.40909090909090906,0.46590909090909094,-0.3181818181818182,-0.2112061844679074,0.10227272727272728,0
2018-02-28,000858.SZ,000858.SZ,2018-05-29,train,-0.4318181818181818,-0.42045454545454547,-0.26136363636363635,0.15909090909090906,0.23863636363636365,0.375,-0.17045454545454547,-0.2727272727272727,0.03409090909090906,-0.2727272727272727,-0.2272727272727273,-0.022727272727272707,-0.034090909090909116,0.03409090909090906,-0.09090909090909088,-0.06818181818181818,0.13636363636363635,0.07954545454545459,0.03409090909090906,-0.06818181818181818,-0.375,0.40909090909090906,0.027932935556694627,0.875,1
2018-02-28,000933.SZ,000933.SZ,2018-05-29,train,-0.011363636363636354,0.23863636363636365,-0.4431818181818182,-0.40909090909090906,-0.48863636363636365,-0.10227272727272729,-0.125,-0.4772727272727273,-0.4772727272727273,-0.25,-0.48863636363636365,0.38636363636363635,0.43181818181818177,0.43181818181818177,0.4772727272727273,-0.45454545454545453,0.19318181818181823,0.15909090909090906,-0.011363636363636354,0.18181818181818177,0.4772727272727273,-0.48863636363636365,-0.27334515166710427,0.045454545454545456,0
2018-02-28,001979.SZ,001979.SZ,2018-05-29,train,0.09090909090909094,-0.48863636363636365,-0.15909090909090912,0.2727272727272727,0.06818181818181823,0.0,-0.4431818181818182,0.09090909090909094,0.15909090909090906,-0.19318181818181818,0.022727272727272707,0.4204545454545454,0.25,0.13636363636363635,0.20454545454545459,-0.10227272727272729,0.36363636363636365,0.31818181818181823,0.3977272727272727,0.045454545454545414,0.011363636363636354,0.07954545454545459,-0.001188441449078148,0.8295454545454546,1
