model,model_label,selected_candidate,selection_score_mean_auc,auc,accuracy,precision,recall,f1,tn,fp,fn,tp,threshold,mean_monthly_auc,auc_ci_low,auc_ci_high
logistic_regression,逻辑回归,C=0.01,0.6638911491327135,0.5086519757280143,0.5104761904761905,0.5165562913907285,0.5842696629213483,0.5483304042179261,112,146,111,156,0.5,0.5036489691662106,0.26384043465827856,0.6789590708288229
decision_tree,决策树,"depth=3,leaf=50",0.5408515540637134,0.47714339633597536,0.49714285714285716,0.5049180327868853,0.5767790262172284,0.5384615384615384,107,151,113,154,0.5,0.4626984126984127,0.30730277185501065,0.5723151293441338
random_forest,随机森林,"depth=5,leaf=20,features=sqrt",0.6600114882877777,0.532764277211625,0.5028571428571429,0.5121951219512195,0.47191011235955055,0.49122807017543857,138,120,141,126,0.5,0.5246943988323298,0.29771509249121186,0.6842206689312766
majority_baseline,多数类基线,pretest prevalence,0.5,0.5,0.5085714285714286,0.5085714285714286,1.0,0.6742424242424243,0,258,0,267,0.5,0.5,0.5,0.5
