model,model_label,year,auc,accuracy,precision,recall,f1,tn,fp,fn,tp,threshold,mean_monthly_auc
logistic_regression,逻辑回归,2025,0.5086519757280143,0.5104761904761905,0.5165562913907285,0.5842696629213483,0.5483304042179261,112,146,111,156,0.5,0.5036489691662106
decision_tree,决策树,2025,0.47714339633597536,0.49714285714285716,0.5049180327868853,0.5767790262172284,0.5384615384615384,107,151,113,154,0.5,0.4626984126984127
random_forest,随机森林,2025,0.532764277211625,0.5028571428571429,0.5121951219512195,0.47191011235955055,0.49122807017543857,138,120,141,126,0.5,0.5246943988323298
