Date,Symbol,Name,Open,High,Low,Close,Volume,Amount
2017-01-03,601668.SH,601668.SH,8.83,8.93,8.75,8.87,2191729.38,1942065834.0
2017-01-04,601668.SH,601668.SH,8.840227652173912,9.040232802675584,8.810226879598662,8.970231,2653957.29,2371518468.0
2017-01-05,601668.SH,601668.SH,8.94986465805991,8.989864053179732,8.829866472700449,8.9298649605,2180511.53,1939765135.0
2017-01-06,601668.SH,601668.SH,8.949856595118776,9.029855313287436,8.859858037179034,8.879857716721201,1860922.5,1661014125.0
2017-01-09,601668.SH,601668.SH,8.880008525477955,9.030008669489405,8.800008448671848,8.950008592683298,2521632.16,2251141798.0
2017-01-10,601668.SH,601668.SH,8.940199867049964,9.010201432004495,8.850197854965568,8.880198525660369,1998576.12,1782490707.0
2017-01-11,601668.SH,601668.SH,8.8498900219967,8.879889649189911,8.659892383106376,8.739891388954934,2848398.1,2496122811.0
2017-01-12,601668.SH,601668.SH,8.700053744484348,8.780054238686503,8.580053003181117,8.600053126731655,1864281.05,1620699811.0
2017-01-13,601668.SH,601668.SH,8.58985189275346,8.639851030662387,8.389855341117757,8.539852754844533,3213678.05,2735919662.0
2017-01-16,601668.SH,601668.SH,8.500016563092165,8.69001693332599,8.330016231830323,8.650016855382027,3979005.62,3388723172.0
2017-01-17,601668.SH,601668.SH,8.579847113998436,8.649845866676745,8.519848183131314,8.59984675762081,1130787.39,971109336.0
2017-01-18,601668.SH,601668.SH,8.600023871169594,8.840024537341769,8.570023787898071,8.74002425977003,2293395.08,2005566650.0
2017-01-19,601668.SH,601668.SH,8.6801041857215,8.790105506047464,8.600103225484437,8.670104065691868,1494788.2,1299433775.0
2017-01-20,601668.SH,601668.SH,8.650387533166334,8.750392013318546,8.62038618912067,8.720390669272883,995876.87,866630217.0
2017-01-23,601668.SH,601668.SH,8.700263652076984,8.840267894754085,8.700263652076984,8.83026759170572,1596419.47,1399826335.0
2017-01-24,601668.SH,601668.SH,8.810244959941528,8.870246628227166,8.780244125798706,8.800244681893922,1328629.36,1172354392.0
2017-01-25,601668.SH,601668.SH,8.81063739846981,9.070656209321358,8.780635227986938,8.980649697872746,2793205.98,2510736758.0
2017-01-26,601668.SH,601668.SH,9.000238363321127,9.060239952409935,8.870234920295378,8.94023677423232,1976636.38,1767986857.0
2017-02-03,601668.SH,601668.SH,8.910106962696357,8.930107202792195,8.80010564216924,8.840106122360918,1136364.22,1006476671.0
2017-02-06,601668.SH,601668.SH,8.830161750445596,8.970164315005322,8.81016138407992,8.870162483176946,1718764.38,1527506293.0
2017-02-07,601668.SH,601668.SH,8.88008900137403,8.88008900137403,8.730087497972441,8.800088199559848,1596380.45,1403837498.0
2017-02-08,601668.SH,601668.SH,8.779690710056569,8.849688244191416,8.719692823655272,8.839688596457867,1469224.12,1292247587.0
2017-02-09,601668.SH,601668.SH,8.829744694223882,8.989740068071654,8.809745272492911,8.869743537685824,3917605.79,3484080492.0
2017-02-10,601668.SH,601668.SH,8.869321306974935,9.309287640128145,8.859322072130544,9.17929758715106,7749911.07,7060793781.0
2017-02-13,601668.SH,601668.SH,9.159591498997624,9.279586147456108,9.109593728806589,9.20958926918866,4179958.97,3833961301.0
2017-02-14,601668.SH,601668.SH,9.21945754429906,9.249455779258817,9.119463427766531,9.199458720992553,2902212.56,2659811084.0
2017-02-15,601668.SH,601668.SH,9.179378663527661,9.189377986690545,9.00939016975863,9.039388139247283,2752151.41,2504221836.0
2017-02-16,601668.SH,601668.SH,9.039220706258595,9.0792172580562,8.96922674061279,9.0692181201068,1934964.68,1746537811.0
2017-02-17,601668.SH,601668.SH,9.039641655344353,9.059640862546443,8.87964799772764,8.889647601328685,1949135.31,1746865464.0
2017-02-20,601668.SH,601668.SH,8.879234854237557,9.089216759574256,8.859236577538823,9.069218482875524,2545014.93,2293606314.0
2017-02-21,601668.SH,601668.SH,9.089239833744838,9.109238161211822,8.97924903267642,9.05924234254436,2244893.44,2029800691.0
2017-02-22,601668.SH,601668.SH,9.04927717596756,9.079274779865795,8.999281169470501,9.04927717596756,1695706.13,1532605566.0
2017-02-23,601668.SH,601668.SH,9.059685864647864,9.069685517920103,8.899691412292052,8.959689331925482,1997223.48,1790373913.0
2017-02-24,601668.SH,601668.SH,8.949578674750253,9.039574437960033,8.919580087013662,9.029574908714501,1701931.68,1529701021.0
2017-02-27,601668.SH,601668.SH,9.010021737499379,9.02002176162535,8.82002127910594,8.830021303231911,2143791.15,1909097451.0
2017-02-28,601668.SH,601668.SH,8.84032997894999,8.890331845346767,8.810328859111925,8.850330352229346,1111564.2,983211660.0
2017-03-01,601668.SH,601668.SH,8.850330352229346,8.950334085022897,8.810328859111925,8.850330352229346,1785314.74,1583176062.0
2017-03-02,601668.SH,601668.SH,8.870412852991729,8.880413318440425,8.670403544017846,8.68040400946654,2356099.09,2066290501.0
2017-03-03,601668.SH,601668.SH,8.650402613120459,8.690404474915235,8.550397958633518,8.68040400946654,1831727.12,1576755021.0
2017-03-06,601668.SH,601668.SH,8.67005793349419,8.67005793349419,8.590057398929076,8.630057666211634,1160544.71,1001440404.0
2017-03-07,601668.SH,601668.SH,8.600208291380069,8.640209260177187,8.570207564782232,8.610208533579348,908032.54,781162164.0
2017-03-08,601668.SH,601668.SH,8.649906842676042,8.939903719482523,8.6299070580687,8.859904581053149,3970329.05,3513190683.0
2017-03-09,601668.SH,601668.SH,8.810174170598142,8.850174961384056,8.620170414365036,8.71017219363335,2581689.13,2247408617.0
2017-03-10,601668.SH,601668.SH,8.660459542637716,8.700461665236503,8.600456358739532,8.620457420038926,1359840.93,1174117494.0
2017-03-13,601668.SH,601668.SH,8.600452390824259,8.730459229290208,8.530448708573363,8.670456073075153,1608789.02,1391473748.0
2017-03-14,601668.SH,601668.SH,8.680741302160001,8.790750696542212,8.650738740055761,8.720744718298988,1481201.57,1290787342.0
2017-03-15,601668.SH,601668.SH,8.690853270706336,8.830867017299994,8.650849343108149,8.760860144003164,1657289.97,1451424753.0
2017-03-16,601668.SH,601668.SH,8.770861125902712,8.84086799919954,8.71085523450543,8.760860144003164,1792695.52,1570584544.0
2017-03-17,601668.SH,601668.SH,8.810499357391496,8.910505025466314,8.730494822931641,8.770497090161568,2652199.48,2342688201.0
2017-03-20,601668.SH,601668.SH,8.860650697033687,8.930655837980906,8.810647024928532,8.890652900296782,2563253.06,2275438235.0
2017-03-21,601668.SH,601668.SH,8.940661578368664,8.970663798430303,8.86065565820429,8.930660838348116,2797143.88,2492889297.0
2017-03-22,601668.SH,601668.SH,8.871014788583782,9.111042246223027,8.851012500447178,8.9610250851985,3615166.2,3248390862.0
2017-03-23,601668.SH,601668.SH,8.931279123888096,8.95128198866724,8.801260502823656,8.881271961940234,2031276.18,1803777163.0
2017-03-24,601668.SH,601668.SH,8.91168683099942,9.771849645214852,8.861677365056662,9.55180799506672,10439077.16,9793499299.0
2017-03-27,601668.SH,601668.SH,9.452253078439377,9.682307915269119,9.342226852129501,9.372234004759466,6524963.84,6213003418.0
2017-03-28,601668.SH,601668.SH,9.342163848702889,9.652235668092384,9.322159215193889,9.492198600020387,4777040.72,4538365256.0
2017-03-29,601668.SH,601668.SH,9.462405376885352,9.6324486024742,9.422395206158564,9.432397748840259,4131930.03,3942667589.0
2017-03-30,601668.SH,601668.SH,9.401914374178611,9.461926593588263,9.111855313698634,9.191871606244833,4400506.11,4082182433.0
2017-03-31,601668.SH,601668.SH,9.201982665011702,9.271997750506355,9.071954649093058,9.201982665011702,2144355.18,1966754811.0
2017-04-05,601668.SH,601668.SH,9.681882060224304,9.781901502995217,9.431833453297024,9.491845118959573,6446953.8,6153531113.0
2017-04-06,601668.SH,601668.SH,9.521765681483814,10.271904784541887,9.421747134409403,10.051863980978187,9410880.21,9306829943.0
2017-04-07,601668.SH,601668.SH,10.002262638071045,10.042271688623329,9.77221059739541,9.932246799604547,5294406.98,5250262205.0
2017-04-10,601668.SH,601668.SH,9.922464921481593,10.242544435077773,9.872452497482188,10.042494739080158,5104327.0,5149432902.0
2017-04-11,601668.SH,601668.SH,9.962046942297837,10.652188748541361,9.942042831971936,10.432143534956468,6942897.4,7119639409.0
2017-04-12,601668.SH,601668.SH,10.312294098458485,10.49233415061392,10.142256271422799,10.24227852262026,4362236.65,4491719196.0
2017-04-13,601668.SH,601668.SH,10.00212890595762,10.142158710641029,9.902107616898045,9.982124648145707,3970001.45,3967860399.0
2017-04-14,601668.SH,601668.SH,10.002270207475972,10.13229972017316,9.822229343741405,9.912249775608688,2880181.16,2869281497.0
2017-04-17,601668.SH,601668.SH,9.861970536807258,9.98199451899964,9.781954548679005,9.941986524935512,2874696.24,2839895182.0
2017-04-18,601668.SH,601668.SH,9.921625336532445,10.171666297634573,9.841612228979765,10.001638444085126,3769148.35,3782984202.0
2017-04-19,601668.SH,601668.SH,10.031643359417382,10.071649913193724,9.73159420609483,9.981635167196957,3475678.77,3451422941.0
2017-04-20,601668.SH,601668.SH,9.942053022127507,10.282123246224423,9.91204682588366,10.262119115395192,4285342.12,4324681084.0
2017-04-21,601668.SH,601668.SH,10.252103005984617,10.402133781681954,10.052061971721503,10.22209685084515,3624449.97,3702076855.0
2017-04-24,601668.SH,601668.SH,10.131579033506322,10.131579033506322,9.501480831027646,9.781524476573724,5218898.62,5111792996.0
2017-04-25,601668.SH,601668.SH,9.70141439366856,9.831433349459996,9.521388147188114,9.741420226219773,2145464.71,2079899792.0
2017-04-26,601668.SH,601668.SH,9.73182441459062,9.791835664834753,9.4717756635327,9.501781288654767,3516605.16,3375068924.0
2017-04-27,601668.SH,601668.SH,9.291692117827557,9.441719439428647,9.041646581825738,9.331699403587848,4418134.74,4080241166.0
2017-04-28,601668.SH,601668.SH,9.271545833586261,9.441574182206505,9.241540830888571,9.36156084167933,1955195.39,1829823065.0
2017-05-02,601668.SH,601668.SH,9.311304728633008,9.461325750039554,9.261297721497492,9.32130613006011,1893944.78,1770832386.0
