Date,Symbol,Name,Open,High,Low,Close,Volume,Amount
2017-01-03,601088.SH,601088.SH,16.19,16.31,16.06,16.19,114485.03,185447499.0
2017-01-04,601088.SH,601088.SH,16.170091266257668,16.35009228220859,16.11009092760736,16.300092,131478.56,213655593.0
2017-01-05,601088.SH,601088.SH,16.35987166297192,16.489870643178907,16.289872212091232,16.3098720552,117168.44,191846531.0
2017-01-06,601088.SH,601088.SH,16.349790939732905,16.45978953321123,16.199792857717004,16.389790428270476,116721.56,191351085.0
2017-01-09,601088.SH,601088.SH,16.349605642102258,16.629598888572506,16.349605642102258,16.49960202413989,121135.63,200104666.0
2017-01-10,601088.SH,601088.SH,16.3998508244026,16.729847822698506,16.37985100632406,16.63984864134508,114471.93,189978625.0
2017-01-11,601088.SH,601088.SH,16.650025826448765,16.860026152187757,16.51002560928944,16.5300256403122,214718.62,359652562.0
2017-01-12,601088.SH,601088.SH,16.52051911919107,16.73052571816384,16.45051691953348,16.470517548007077,108131.18,179476283.0
2017-01-13,601088.SH,601088.SH,16.54063234276897,16.650636548192463,16.420627755034253,16.600634636636332,124182.02,205661202.0
2017-01-16,601088.SH,601088.SH,16.71113353237487,16.94114913455597,16.501119286905165,16.89114574277747,306768.6,513534809.0
2017-01-17,601088.SH,601088.SH,16.800739041008303,16.920744319872647,16.730735961670767,16.860741680440473,85039.0,143058067.0
2017-01-18,601088.SH,601088.SH,16.91125764919484,17.171276986201978,16.761246493229187,17.05126806142945,140844.2,240258979.0
2017-01-19,601088.SH,601088.SH,17.031361860794483,17.19137465572855,16.901351464910555,16.98135786237759,76064.68,129707645.0
2017-01-20,601088.SH,601088.SH,16.93059828251489,17.12060499684908,16.92059792912888,17.12060499684908,77105.33,131614515.00000001
2017-01-23,601088.SH,601088.SH,17.120876847669816,17.250883505975718,17.110876335492435,17.13087735984719,104219.34,179006925.0
2017-01-24,601088.SH,601088.SH,17.150468944157275,17.34047413945698,17.020465389478534,17.300473045709676,140301.48,241791898.0
2017-01-25,601088.SH,601088.SH,17.369747400606844,17.369747400606844,17.129750890753897,17.189750018217136,85810.56,147650273.0
2017-01-26,601088.SH,601088.SH,17.098979752877042,17.248970803340875,16.928989895684698,17.218972593248107,199140.84,339668759.0
2017-02-03,601088.SH,601088.SH,17.109355311102174,17.209351543195115,16.90936284691629,16.919362470125588,117683.62,199928318.0
2017-02-06,601088.SH,601088.SH,16.969709716557325,16.979709545500494,16.599716045660085,16.719713992978107,177482.62,297223717.0
2017-02-07,601088.SH,601088.SH,16.659715019319094,16.809712453466624,16.619715703546422,16.719713992978107,109237.63,182685014.0
2017-02-08,601088.SH,601088.SH,16.65012624565896,16.88012798959299,16.65012624565896,16.850127762123336,83898.42,140645594.0
2017-02-09,601088.SH,601088.SH,16.82056571441183,17.01057210476488,16.82056571441183,16.89056806875243,92237.6,156011161.0
2017-02-10,601088.SH,601088.SH,16.941154627070418,17.151168940629137,16.871149855884177,17.06116280624683,148373.18,252691275.0
2017-02-13,601088.SH,601088.SH,17.361074242106966,17.561086618168105,17.15106124724277,17.201064341258054,237090.79,411685420.0
2017-02-14,601088.SH,601088.SH,17.171141842734436,17.35115381313002,17.15114051269048,17.311151153042108,108883.06,188019040.0
2017-02-15,601088.SH,601088.SH,17.28114915797618,17.481162458415717,17.18114250775641,17.311151153042108,180240.83,311885497.0
2017-02-16,601088.SH,601088.SH,17.301162419848055,17.45117249863286,17.251159060253116,17.401169139037926,159076.76,276168740.0
2017-02-17,601088.SH,601088.SH,17.43102861017095,17.48103156085991,17.091008545486034,17.12101031589941,169747.18,292126316.0
2017-02-20,601088.SH,601088.SH,17.131661626544112,17.3016781167083,17.05165386646685,17.271675206679326,161473.65,277374009.0
2017-02-21,601088.SH,601088.SH,17.30240260571678,17.382413716032232,17.17238455145417,17.292401216927345,167499.09,289338628.0
2017-02-22,601088.SH,601088.SH,17.243096220190253,17.293105199947185,17.093069280919458,17.17308364853055,136917.2,235090219.0
2017-02-23,601088.SH,601088.SH,17.202897330407176,17.302914175351408,16.952855218046608,17.052872062990836,131543.18,225265789.0
2017-02-24,601088.SH,601088.SH,16.95226011781919,17.02226945163909,16.782237449970857,16.95226011781919,142603.79,240733467.0
2017-02-27,601088.SH,601088.SH,16.962768912242943,17.112793401443202,16.852750953496084,16.88275585133613,109908.4,186584296.0
2017-02-28,601088.SH,601088.SH,16.933531686348754,16.983542116609676,16.82350873977472,16.94353377240094,90092.08,152251977.0
2017-03-01,601088.SH,601088.SH,16.924241431221706,17.014263992026077,16.854223883929418,16.88423140419754,139075.24,235244847.0
2017-03-02,601088.SH,601088.SH,16.974795847082035,17.00480432530316,16.794744977755293,16.794744977755293,129499.79,218730624.0
2017-03-03,601088.SH,601088.SH,16.795541896968093,16.795541896968093,16.605479183422894,16.67550228841323,109897.77,182984071.0
2017-03-06,601088.SH,601088.SH,16.70554984235878,16.955632923831217,16.70554984235878,16.86560301450114,135124.95,227411327.0
2017-03-07,601088.SH,601088.SH,16.87560633776004,16.90561630753673,16.76556978191217,16.86560301450114,82573.57,138984949.0
2017-03-08,601088.SH,601088.SH,16.8550181179037,16.895030030349762,16.754988336788543,16.815006205457635,68201.23,114534878.0
2017-03-09,601088.SH,601088.SH,16.744859266919804,16.75486216970769,16.29472864146497,16.604818627889415,254455.91,419026430.0
2017-03-10,601088.SH,601088.SH,16.515598102432737,16.595625228307636,16.30552689701112,16.405560804354742,129075.19,211686126.0
2017-03-13,601088.SH,601088.SH,16.385434927399473,16.5454880158234,16.215378520949052,16.515478061743917,156874.51,257312301.0
2017-03-14,601088.SH,601088.SH,16.515760668832108,16.56577811483099,16.405722287634557,16.485750201232776,133830.44,220574966.0
2017-03-15,601088.SH,601088.SH,16.57571838293288,16.79579430594104,16.495690774566274,16.785790854895215,211978.49,353366090.0
2017-03-16,601088.SH,601088.SH,16.816005278434023,16.916041002874444,16.735976698881693,16.816005278434027,136511.93,229728917.0
2017-03-17,601088.SH,601088.SH,16.916698792605473,16.956714638359713,16.666599756641464,16.696611640957148,168132.52,282892887.0
2017-03-20,601088.SH,601088.SH,18.367942466216956,18.367942466216956,18.367942466216956,18.367942466216956,105436.46,193581341.0
2017-03-21,601088.SH,601088.SH,19.5078353663263,20.198112617750155,19.187706785955818,19.89799207365283,1669405.24,3294330362.0
2017-03-22,601088.SH,601088.SH,19.43801767432806,19.558067191616757,19.237935145513568,19.498042432972408,764399.44,1482232756.0
