model,model_cn,roc_auc,auc_ci_low,auc_ci_high,pr_auc,accuracy,balanced_accuracy,precision,recall,specificity,f1,brier,tn,fp,fn,tp,cv_auc_mean,cv_auc_std,best_params,model_label,auc_ci,display_order
logistic_regression,逻辑回归,0.9937169312169312,0.9831688281593012,0.9996624194412232,0.989665029897151,0.9473684210526316,0.933531746031746,0.9736842105263158,0.8809523809523809,0.9861111111111112,0.925,0.0339430464230322,71,1,5,37,0.9918472652218782,0.0070478311987467,"{""model__C"": 10.0, ""model__class_weight"": null}",逻辑回归,0.983至1.000,0
random_forest,随机森林,0.9937169312169312,0.9812479707792208,1.0,0.9908518494455296,0.9473684210526316,0.933531746031746,0.9736842105263158,0.8809523809523809,0.9861111111111112,0.925,0.0347676371919917,71,1,5,37,0.9890608875129,0.0051330568072015,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}",随机森林,0.981至1.000,1
gradient_boosting,梯度提升,0.992063492063492,0.9747143412569312,1.0,0.9896900403027024,0.956140350877193,0.945436507936508,0.9743589743589745,0.9047619047619048,0.9861111111111112,0.9382716049382716,0.0322243992395009,71,1,4,38,0.9900412796697626,0.0045967094842765,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",梯度提升,0.975至1.000,2
decision_tree,决策树,0.9720568783068784,0.934513865686602,0.9957136489500564,0.9544027933885556,0.9473684210526316,0.9484126984126984,0.9090909090909092,0.9523809523809524,0.9444444444444444,0.9302325581395348,0.0547953216374269,68,4,2,40,0.9696594427244584,0.0115433247280815,"{""model__class_weight"": null, ""model__max_depth"": 5, ""model__min_samples_leaf"": 10}",决策树,0.935至0.996,3
