model,model_cn,roc_auc,auc_ci_low,auc_ci_high,pr_auc,accuracy,balanced_accuracy,precision,recall,specificity,f1,brier,tn,fp,fn,tp
logistic_regression,逻辑回归,0.9937169312169312,0.9831688281593013,0.9996624194412231,0.989665029897151,0.9473684210526315,0.933531746031746,0.9736842105263158,0.8809523809523809,0.9861111111111112,0.925,0.03394304642303225,71,1,5,37
decision_tree,决策树,0.9720568783068784,0.934513865686602,0.9957136489500564,0.9544027933885557,0.9473684210526315,0.9484126984126984,0.9090909090909091,0.9523809523809523,0.9444444444444444,0.9302325581395349,0.054795321637426904,68,4,2,40
random_forest,随机森林,0.9937169312169312,0.9812479707792207,1.0,0.9908518494455296,0.9473684210526315,0.933531746031746,0.9736842105263158,0.8809523809523809,0.9861111111111112,0.925,0.034767637191991725,71,1,5,37
gradient_boosting,梯度提升,0.9920634920634921,0.9747143412569312,1.0,0.9896900403027024,0.956140350877193,0.9454365079365079,0.9743589743589743,0.9047619047619048,0.9861111111111112,0.9382716049382716,0.03222439923950094,71,1,4,38
