参考项,概率值,测试Brier,备注
按开发期正样本比例给定常数概率,0.48263573220844397,0.24392848382202778,可实现的无特征概率基准
使用测试期实际正样本比例,0.316489988221437,0.21632407557703168,只是事后校准下界参考，不可用于真实预测
