模型,季度末,样本数,Y=1比例,季度内AUC,平均预测概率
决策树,2022-03-31,4228,0.4446546830652791,0.5045956948421473,0.4862965158973392
决策树,2022-06-30,4262,0.18934772407320508,0.4891113753212215,0.4853213824508403
梯度提升,2022-03-31,4228,0.4446546830652791,0.5315654563412955,0.48254015783805865
梯度提升,2022-06-30,4262,0.18934772407320508,0.5041006963311259,0.4825878481018996
逻辑回归,2022-03-31,4228,0.4446546830652791,0.5195614647141977,0.4825039636574915
逻辑回归,2022-06-30,4262,0.18934772407320508,0.5079006593895312,0.4826424855898028
随机森林,2022-03-31,4228,0.4446546830652791,0.5182992995396716,0.4833186893826831
随机森林,2022-06-30,4262,0.18934772407320508,0.5109461890082616,0.48373629162244086
