feature,VIF
pb,1.8912702871449258
assets_growth_lag1,1.836588141172699
equity_growth_lag1,1.8040706608386197
ev_ebitda,1.7996466051099347
ps,1.7706467182855177
pe,1.5199245137346324
abs_ret_1q,1.1565259020309213
ret_1q,1.1056374599284016
