概率组,样本数,平均预测概率,实际正收益比例,平均下季度收益,中位数下季度收益
Q1最低,1699,0.4199832136569646,0.29546792230723956,-0.06906209535020601,-0.1124
Q2,1697,0.44985229594437776,0.3146729522687095,-0.04582192103712433,-0.0789
Q3,1698,0.4784740865700207,0.32744405182567726,-0.031175795053003535,-0.06655
Q4,1697,0.5112590785028038,0.3146729522687095,-0.03580559811431939,-0.0621
Q5最高,1699,0.5580629853848628,0.3301942319011183,-0.02229841082989994,-0.0502
