模型,特征集,特征数,滚动验证平均AUC,测试AUC
逻辑回归,混合X,8,0.5500552102288515,0.5121583160180292
逻辑回归,移除历史价格特征,6,0.5611754540757516,0.49473915965979126
决策树,混合X,8,0.5446627130108204,0.5005481424883156
决策树,移除历史价格特征,6,0.5408251710219579,0.49497321207714323
随机森林,混合X,8,0.55257706104008,0.5146989343255779
随机森林,移除历史价格特征,6,0.5517336452717885,0.4983778265941907
梯度提升,混合X,8,0.5523499455998537,0.518849925615647
梯度提升,移除历史价格特征,6,0.5517156492641333,0.49626526222817263
