模型,最优参数,滚动验证AUC,测试AUC,PR-AUC,Accuracy,Balanced Accuracy,Precision,Recall,F1,Brier
梯度提升,"estimators=80, depth=1",0.5523499455998537,0.518849925615647,0.323111829220431,0.5521790341578328,0.5050468294026274,0.3223956674100032,0.3766282098995162,0.3474081702711981,0.24495376723209003
随机森林,"depth=3, leaf=150",0.55257706104008,0.5146989343255779,0.321859543762962,0.5522968197879858,0.5009364020676137,0.31761624099541585,0.36099739486416077,0.3379202229576729,0.24566270374206728
逻辑回归,C=0.03,0.5500552102288515,0.5121583160180292,0.3245978362733662,0.5343934040047115,0.5039266549821099,0.320578231292517,0.42091551916635656,0.3639581657280772,0.24654828770726117
决策树,"depth=3, leaf=250",0.5446627130108204,0.5005481424883156,0.3184001228343021,0.5557126030624264,0.49094525943968126,0.3045045045045045,0.3144771120208411,0.3094104723544489,0.24892989792278775
