model,fpr,tpr
逻辑回归,0.0,0.0
逻辑回归,0.00017232465965879716,0.0
逻辑回归,0.0003446493193175943,0.0
逻辑回归,0.0003446493193175943,0.0003721622627465575
逻辑回归,0.0008616232982939859,0.0003721622627465575
逻辑回归,0.0008616232982939859,0.000744324525493115
逻辑回归,0.001033947957952783,0.000744324525493115
逻辑回归,0.001033947957952783,0.00148864905098623
逻辑回归,0.0012062726176115801,0.00148864905098623
逻辑回归,0.0012062726176115801,0.0026051358392259025
逻辑回归,0.0013785972772703773,0.0026051358392259025
逻辑回归,0.0013785972772703773,0.00297729810197246
逻辑回归,0.002067895915905566,0.00297729810197246
逻辑回归,0.002067895915905566,0.0033494603647190174
逻辑回归,0.0024125452352231603,0.0033494603647190174
逻辑回归,0.0024125452352231603,0.003721622627465575
逻辑回归,0.0025848698948819577,0.003721622627465575
逻辑回归,0.0025848698948819577,0.004093784890212133
逻辑回归,0.0027571945545407546,0.004093784890212133
逻辑回归,0.0027571945545407546,0.00446594715295869
逻辑回归,0.003101843873858349,0.00446594715295869
逻辑回归,0.003101843873858349,0.004838109415705247
逻辑回归,0.0032741685335171463,0.004838109415705247
逻辑回归,0.0032741685335171463,0.005210271678451805
逻辑回归,0.00430811649146993,0.005210271678451805
逻辑回归,0.00430811649146993,0.005582433941198363
逻辑回归,0.004997415130105118,0.005582433941198363
逻辑回归,0.004997415130105118,0.00595459620394492
逻辑回归,0.005342064449422712,0.00595459620394492
逻辑回归,0.005342064449422712,0.006326758466691477
逻辑回归,0.006031363088057901,0.006326758466691477
逻辑回归,0.006031363088057901,0.006698920729438035
逻辑回归,0.006376012407375496,0.006698920729438035
逻辑回归,0.006376012407375496,0.00744324525493115
逻辑回归,0.006892986386351887,0.00744324525493115
逻辑回归,0.006892986386351887,0.008559732043170823
逻辑回归,0.007237635705669481,0.008559732043170823
逻辑回归,0.007237635705669481,0.009676218831410495
逻辑回归,0.007409960365328278,0.009676218831410495
逻辑回归,0.007409960365328278,0.010792705619650168
逻辑回归,0.007582285024987076,0.010792705619650168
逻辑回归,0.007582285024987076,0.011164867882396725
逻辑回归,0.008443908323281062,0.011164867882396725
逻辑回归,0.008443908323281062,0.012281354670636397
逻辑回归,0.008960882302257453,0.012281354670636397
逻辑回归,0.008960882302257453,0.012653516933382954
逻辑回归,0.009477856281233845,0.012653516933382954
逻辑回归,0.009477856281233845,0.013025679196129512
逻辑回归,0.009650180940892641,0.013025679196129512
逻辑回归,0.009650180940892641,0.013770003721622627
逻辑回归,0.010684128898845425,0.013770003721622627
逻辑回归,0.010684128898845425,0.014142165984369185
逻辑回归,0.011890401516457006,0.014142165984369185
逻辑回归,0.011890401516457006,0.0148864905098623
逻辑回归,0.012062726176115802,0.0148864905098623
逻辑回归,0.012062726176115802,0.015258652772608858
逻辑回归,0.012407375495433396,0.015258652772608858
逻辑回归,0.012407375495433396,0.015630815035355416
逻辑回归,0.012752024814750991,0.015630815035355416
逻辑回归,0.012752024814750991,0.016002977298101972
逻辑回归,0.012924349474409787,0.016002977298101972
逻辑回归,0.012924349474409787,0.01637513956084853
逻辑回归,0.013613648113044977,0.01637513956084853
逻辑回归,0.013613648113044977,0.016747301823595087
逻辑回归,0.013785972772703775,0.016747301823595087
逻辑回归,0.013785972772703775,0.017119464086341647
逻辑回归,0.01395829743236257,0.017119464086341647
逻辑回归,0.01395829743236257,0.017491626349088202
逻辑回归,0.01464759607099776,0.017491626349088202
逻辑回归,0.01464759607099776,0.018608113137327874
逻辑回归,0.015164570049974152,0.018608113137327874
逻辑回归,0.015164570049974152,0.018980275400074433
逻辑回归,0.015336894709632948,0.018980275400074433
逻辑回归,0.015336894709632948,0.01935243766282099
逻辑回归,0.015509219369291746,0.01935243766282099
逻辑回归,0.015509219369291746,0.01972459992556755
逻辑回归,0.015681544028950542,0.01972459992556755
逻辑回归,0.015681544028950542,0.020096762188314105
逻辑回归,0.01585386868860934,0.020096762188314105
逻辑回归,0.01585386868860934,0.020468924451060664
逻辑回归,0.016026193348268138,0.020468924451060664
逻辑回归,0.016026193348268138,0.02084108671380722
逻辑回归,0.01637084266758573,0.02084108671380722
逻辑回归,0.01637084266758573,0.021585411239300335
逻辑回归,0.01706014130622092,0.021585411239300335
逻辑回归,0.01706014130622092,0.02232973576479345
逻辑回归,0.017404790625538513,0.02232973576479345
逻辑回归,0.017404790625538513,0.022701898027540007
逻辑回归,0.01757711528519731,0.022701898027540007
逻辑回归,0.01757711528519731,0.02381838481577968
逻辑回归,0.0182664139238325,0.02381838481577968
逻辑回归,0.0182664139238325,0.024562709341272793
逻辑回归,0.018611063243150094,0.024562709341272793
逻辑回归,0.018611063243150094,0.024934871604019353
逻辑回归,0.01947268654144408,0.024934871604019353
逻辑回归,0.01947268654144408,0.02530703386676591
逻辑回归,0.019645011201102878,0.02530703386676591
逻辑回归,0.019645011201102878,0.025679196129512468
逻辑回归,0.019817335860761676,0.025679196129512468
逻辑回归,0.019817335860761676,0.026423520655005583
