Date,Open,High,Low,Close,Volume,Source
2015-01-05,4.37792117,4.47200354,4.36909416,4.44847822,9489675.00000000,Yahoo Finance chart API (adjusted)
2015-01-06,4.41025334,4.51904392,4.38085626,4.51610804,8402330.00000000,Yahoo Finance chart API (adjusted)
2015-01-07,4.55432222,4.55432222,4.47493863,4.51904392,4784637.00000000,Yahoo Finance chart API (adjusted)
2015-01-08,4.51610838,4.52492548,4.45435897,4.47788429,5719838.00000000,Yahoo Finance chart API (adjusted)
2015-01-09,4.44259617,4.52492556,4.44259617,4.45435905,12245778.00000000,Yahoo Finance chart API (adjusted)
2015-01-12,4.44554238,4.44554238,4.36909420,4.38967419,9253024.00000000,Yahoo Finance chart API (adjusted)
2015-01-13,4.36909378,4.46905782,4.32205260,4.45142317,15735679.00000000,Yahoo Finance chart API (adjusted)
2015-01-14,4.42496262,4.46612214,4.40438263,4.43377972,16683271.00000000,Yahoo Finance chart API (adjusted)
2015-01-15,4.42789864,4.51316393,4.36321335,4.50728226,13607517.00000000,Yahoo Finance chart API (adjusted)
2015-01-16,4.49846443,4.54845095,4.46905789,4.54845095,13386579.00000000,Yahoo Finance chart API (adjusted)
2015-01-19,4.41025412,4.51022717,4.30440886,4.35145950,13679474.00000000,Yahoo Finance chart API (adjusted)
2015-01-20,4.37203943,4.50434589,4.36909410,4.50434589,7371544.00000000,Yahoo Finance chart API (adjusted)
2015-01-21,4.52492569,4.62195340,4.51610859,4.61607218,12835819.00000000,Yahoo Finance chart API (adjusted)
2015-01-22,4.63665185,4.70427301,4.61900775,4.69251013,16264718.00000000,Yahoo Finance chart API (adjusted)
2015-01-23,4.69839213,4.73367988,4.62195341,4.64841461,9008616.00000000,Yahoo Finance chart API (adjusted)
2015-01-26,4.64253350,4.75131464,4.63077106,4.74837875,15491152.00000000,Yahoo Finance chart API (adjusted)
2015-01-27,4.75426016,4.77190426,4.67193121,4.76014137,16412842.00000000,Yahoo Finance chart API (adjusted)
2015-01-28,4.71015446,4.78953851,4.71015446,4.73661566,25434797.00000000,Yahoo Finance chart API (adjusted)
2015-01-29,4.71015501,4.73956200,4.67781258,4.70721912,12219165.00000000,Yahoo Finance chart API (adjusted)
2015-01-30,4.69839216,4.73661580,4.64841464,4.65135098,18784941.00000000,Yahoo Finance chart API (adjusted)
2015-02-02,4.63077116,4.66899480,4.57491242,4.63077116,10771666.00000000,Yahoo Finance chart API (adjusted)
2015-02-03,4.64253393,4.72485387,4.64253393,4.71603632,14111785.00000000,Yahoo Finance chart API (adjusted)
2015-02-04,4.71603545,4.73661543,4.68663836,4.69251013,10755626.00000000,Yahoo Finance chart API (adjusted)
2015-02-05,4.76307763,4.78660295,4.65723237,4.66017771,28537124.00000000,Yahoo Finance chart API (adjusted)
2015-02-06,4.66017773,4.66899483,4.54550592,4.56903124,24296136.00000000,Yahoo Finance chart API (adjusted)
2015-02-09,4.57196720,4.58373008,4.52786189,4.54257011,12381977.00000000,Yahoo Finance chart API (adjusted)
2015-02-10,4.51610876,4.60137358,4.51610876,4.59842825,9100187.00000000,Yahoo Finance chart API (adjusted)
2015-02-11,4.60137343,4.65723216,4.60137343,4.64841461,13101100.00000000,Yahoo Finance chart API (adjusted)
2015-02-12,4.66017716,4.69251012,4.65135060,4.68663836,7651912.00000000,Yahoo Finance chart API (adjusted)
2015-02-13,4.70133775,4.78660303,4.70133775,4.76014137,19099069.00000000,Yahoo Finance chart API (adjusted)
2015-02-16,4.76014138,4.85716954,4.76014138,4.85422421,12235551.00000000,Yahoo Finance chart API (adjusted)
2015-02-17,4.86598608,4.89832895,4.84540610,4.87774897,10599695.00000000,Yahoo Finance chart API (adjusted)
2015-02-25,4.88363093,4.91009213,4.85128806,4.86598682,18180138.00000000,Yahoo Finance chart API (adjusted)
2015-02-26,4.86304098,4.92772626,4.86010510,4.92479038,19440750.00000000,Yahoo Finance chart API (adjusted)
2015-02-27,4.93948893,4.97476768,4.91890895,4.97476768,14532831.00000000,Yahoo Finance chart API (adjusted)
2015-03-02,5.00122822,5.08355760,4.98359357,5.08062172,20420415.00000000,Yahoo Finance chart API (adjusted)
