order,attempt,stock_scope,observation,target,fit_samples,test_samples,test_period,best_model,best_auc,auc_ci,reading
1,截面60日排名,冻结沪深A股股票池,股票×月末,未来60交易日收益位于同期前30%或后30%,4349,525,2025年，9个月末,随机森林,0.532764277211625,0.298—0.684,对应截面选股，但区间跨过0.5
2,20日绝对涨跌,冻结沪深A股股票池,股票×月末,未来20交易日收益是否大于0,7867,1065,2025年，11个月末,逻辑回归,0.5289815875817598,0.499—0.587,样本增加，但只保留很弱的线性信号
3,宁德时代20日超额收益,300750.SZ与沪深300,单股×周末,未来20交易日收益是否超过沪深300,318,48,2025年，48个周度样本,决策树,0.5243478260869565,0.349—0.691,单股差异更小，但有效时间窗口太少
