Date,Symbol_stock,Name_stock,Open_stock,High_stock,Low_stock,Close_stock,Volume_stock,Amount_stock,Symbol_benchmark,Name_benchmark,Open_benchmark,High_benchmark,Low_benchmark,Close_benchmark,Volume_benchmark,Amount_benchmark,return_1d,return_5d,return_10d,return_20d,ma5_gap,ma20_gap,ma60_gap,rsi14,macd_pct,atr14_pct,volatility20,intraday_range,open_close_return,volume_ratio20,amount_ratio20,excess_return_5d,excess_return_20d,benchmark_return_20d,benchmark_volatility20,beta60,stock_future_20d,benchmark_future_20d,future_excess_20d,label_end_date,target,week,year,split
2018-09-07,300750.SZ,宁德时代,32.05,33.28,31.91,32.48,12748586.0,813256861.0,000300.SH,沪深300,3273.891,3316.615,3253.725,3277.644,6394740800,,0.023959646910466592,-0.033045549270616426,-0.07962595636157555,-0.14929282346778427,0.009448035803082844,-0.06966086159486717,-0.12258110992048843,38.118811881188115,-0.039280666240558995,0.0494370161857847,0.027252454739653164,0.042179802955665056,0.013416536661466472,1.075176865443419,1.0019657528705783,-0.01599353793699676,-0.11188480900442888,-0.0374080144633554,0.012003663228224788,0.8395962968291988,0.09205665024630538,-0.04612825553964972,0.1381849057859551,2018-10-15,1,2018-09-01/2018-09-07,2018,development
2018-09-14,300750.SZ,宁德时代,34.0,35.39,33.78,33.8,15831828.0,1068356171.0,000300.SH,沪深300,3242.831,3254.104,3227.944,3242.09,6013064000,,0.017153174842010177,0.04064039408866993,0.006251860672819021,-0.03318077803203667,0.032565528196981886,-0.007997652065448668,-0.08831396524983703,40.42553191489361,-0.030979131827160458,0.04668216398985634,0.028509429732145927,0.047633136094674546,-0.005882352941176561,1.3556025727033902,1.3627295269531159,0.05148781986157258,-0.03704191339780738,0.003861135365770707,0.011086913854049479,1.3279275583497616,0.20029585798816574,0.008692849365687039,0.1916030086224787,2018-10-22,1,2018-09-08/2018-09-14,2018,development
2018-09-21,300750.SZ,宁德时代,35.2,35.85,34.8,35.49,7748207.0,535412407.0,000300.SH,沪深300,3320.696,3410.486,3307.767,3410.486,10841600500,,0.017780326928592105,0.050000000000000044,0.09267241379310365,0.005667327854916415,0.03409090909090895,0.04894484837737201,-0.037611519375220115,65.51373346897256,-0.010489671967980039,0.03858229682405509,0.030055465133983158,0.029585798816568167,0.00823863636363642,0.7035424887722685,0.7290721693107294,-0.00194056920073149,-0.019939415525825677,0.025606743380742092,0.013409106852418912,1.3500884925727432,0.022541561003099453,-0.09781509145617362,0.12035665245927307,2018-10-29,1,2018-09-15/2018-09-21,2018,development
2018-09-28,300750.SZ,宁德时代,36.98,38.51,36.98,37.44,11921098.0,880458280.0,000300.SH,沪深300,3409.96,3444.988,3404.697,3438.865,8437775600,,0.006181134103735442,0.07370232291367929,0.12669274751730364,0.042896935933147695,0.02536013583830865,0.10635028515705791,0.012274914832639094,73.75478927203065,0.010518121477805979,0.04006410256410258,0.030837097088415887,0.04086538461538465,0.012439156300703136,1.133186967325824,1.2560769833194367,0.034809845708884124,0.016705190789621405,0.02619174514352629,0.012599362173181965,1.4181383873496307,0.07505341880341887,-0.04321745692256007,0.11827087572597894,2018-11-02,1,2018-09-22/2018-09-28,2018,development
2018-10-12,300750.SZ,宁德时代,31.0,32.39,30.97,32.24,8600315.0,531900783.0,000300.SH,沪深300,3123.372,3184.122,3094.966,3170.726,9861115100,,0.040000000000000036,-0.13888888888888873,-0.07542299971322042,0.016393442622950838,-0.022615655126417278,-0.051429916441096735,-0.11707920453145038,44.72259810554805,-0.01354036177848674,0.05383729174051754,0.03562409649658473,0.044044665012406996,0.040000000000000036,0.8307249605461149,0.7670812385272445,-0.06091577857487529,0.04463688760301587,-0.028243444980065036,0.018789837587404126,1.4882671902805342,0.23697270471464016,-0.0010350941708618944,0.23800779888550205,2018-11-09,1,2018-10-06/2018-10-12,2018,development
2018-10-19,300750.SZ,宁德时代,34.37,38.09,34.37,37.84,14125112.0,1008056887.0,000300.SH,沪深300,3017.749,3137.748,3009.498,3134.946,9883968800,,0.08455144740613374,0.1736972704714641,0.010683760683760868,0.13873006319590742,0.05456774984671986,0.08607674865819037,0.05210476561196686,56.253326237360305,0.006858354281439634,0.056535034732709134,0.044964387694091675,0.09830866807611009,0.1009601396566775,1.23586590741617,1.2878229338018095,0.184981752321993,0.17012753817401693,-0.03139747497810952,0.020572306575976706,1.4754507759380202,0.08588794926004217,0.03914836172616698,0.04673958753387519,2018-11-16,1,2018-10-13/2018-10-19,2018,development
2018-10-26,300750.SZ,宁德时代,41.38,41.38,37.45,38.26,17691702.0,1361043435.0,000300.SH,沪深300,3204.285,3218.102,3151.924,3173.635,10129935400,,-0.07807228915662656,0.0110993657505285,0.18672456575682372,0.09721823917407524,-0.04263837453708341,0.0529357533059045,0.07464363457622358,57.04697986577181,0.0347021572585174,0.06674258830557836,0.05113269958877006,0.10271824359644537,-0.07539874335427754,1.4148811625157582,1.5239739774656254,-0.0012418356609154024,0.1384526211885363,-0.04123438201446106,0.02284290613319819,1.399281715575011,-0.008363826450601186,-0.00950329826838947,0.0011394718177882845,2018-11-23,1,2018-10-20/2018-10-26,2018,development
2018-11-02,300750.SZ,宁德时代,39.05,40.33,39.0,40.25,13705894.0,1059238489.0,000300.SH,沪深300,3258.609,3290.246,3222.435,3290.246,15346610400,,0.0662251655629138,0.052012545739676064,0.06368921775898517,0.07505341880341887,0.05383044457244579,0.09504441391318541,0.12965015927365608,61.30558183538317,0.027394052950078643,0.06381543921916591,0.05417085958006116,0.03304347826086952,0.030729833546734975,1.07378381242088,1.1512529755643224,0.015268874838643143,0.11827087572597894,-0.04321745692256007,0.02431122831959074,1.5050885574557515,0.019875776397515477,-0.03572863548804561,0.05560441188556109,2018-11-30,1,2018-10-27/2018-11-02,2018,development
2018-11-09,300750.SZ,宁德时代,39.49,40.54,39.32,39.88,6063937.0,473740955.0,000300.SH,沪深300,3193.304,3193.304,3166.311,3167.444,8428276200,,0.005800756620428782,-0.009192546583850825,0.04234187140616852,0.23697270471464016,-0.01594038395104358,0.032051033215584335,0.1095602657973691,48.05194805194806,0.032105257088166514,0.06010889812294023,0.04756069439607303,0.030591775325977903,0.009875917953912294,0.4808832279878977,0.5004356127468638,0.02813049856231764,0.23800779888550205,-0.0010350941708618944,0.019570537294575804,1.4464912800464598,0.02507522567703102,0.004458168794775785,0.020617056882255236,2018-12-07,1,2018-11-03/2018-11-09,2018,development
2018-11-16,300750.SZ,宁德时代,41.89,41.93,40.32,41.09,9809408.0,785031530.0,000300.SH,沪深300,3242.879,3282.39,3223.722,3257.674,12687683500,,-0.015100671140939492,0.030341023069207607,0.02086956521739136,0.08588794926004217,-0.016609228412789445,0.02425405688361537,0.12999995416565446,66.90140845070422,0.03427852839295095,0.05143761081945553,0.0414603557222343,0.0391822827938671,-0.019097636667462337,0.8170012444945857,0.838044924055469,0.00185433159178916,0.04673958753387519,0.03914836172616698,0.017704528099824934,1.4274568769921343,-0.009734728644439139,-0.0281682574745048,0.01843352883006566,2018-12-14,1,2018-11-10/2018-11-16,2018,development
