Date,Symbol_stock,Name_stock,Open_stock,High_stock,Low_stock,Close_stock,Volume_stock,Amount_stock,Symbol_benchmark,Name_benchmark,Open_benchmark,High_benchmark,Low_benchmark,Close_benchmark,Volume_benchmark,Amount_benchmark,return_1d,return_5d,return_10d,return_20d,ma5_gap,ma20_gap,ma60_gap,rsi14,macd_pct,atr14_pct,volatility20,intraday_range,open_close_return,volume_ratio20,amount_ratio20,excess_return_5d,excess_return_20d,benchmark_return_20d,benchmark_volatility20,beta60,stock_future_20d,benchmark_future_20d,future_excess_20d,label_end_date,target,week
2018-06-11,300750.SZ,宁德时代,15.47,18.57,15.47,18.57,78829.0,2845472.0,000300.SH,沪深300,3770.208,3792.548,3756.515,3779.982,6870983400,,,,,,,,,,,,,0.1669359181475498,0.20038784744667093,,,,,,,,0.9994614970382338,-0.0826633565979944,1.0821248536362282,2018-07-10,1,2018-06-09/2018-06-15
2018-06-12,300750.SZ,宁德时代,20.42,20.42,20.42,20.42,26579.0,1058376.0,000300.SH,沪深300,3783.186,3830.471,3765.264,3825.953,7320624400,,0.09962304792676369,,,,,,,,,,,0.0,0.0,,,,,,,,0.9353574926542605,-0.1093643858144624,1.0447218784687229,2018-07-11,1,2018-06-09/2018-06-15
2018-06-13,300750.SZ,宁德时代,22.46,22.46,22.46,22.46,45030.0,1972314.0,000300.SH,沪深300,3814.617,3817.453,3782.073,3788.339,6637797000,,0.09990205680705189,,,,,,,,,,,0.0,0.0,,,,,,,,0.9358860195903826,-0.08111285711231231,1.016998876702695,2018-07-12,1,2018-06-09/2018-06-15
2018-06-14,300750.SZ,宁德时代,24.71,24.71,24.71,24.71,74267.0,3578184.0,000300.SH,沪深300,3774.64,3808.162,3759.248,3773.366,6847132200,,0.10017809439002678,,,,,,,,,,,0.0,0.0,,,,,,,,0.7167138810198301,-0.07438345498422361,0.7910973360040537,2018-07-13,1,2018-06-09/2018-06-15
2018-06-15,300750.SZ,宁德时代,27.18,27.18,27.18,27.18,256510.0,13595030.0,000300.SH,沪深300,3763.041,3780.337,3737.428,3753.434,8548889300,,0.09995953055443141,,,,0.19904711487559568,,,,,,,0.0,0.0,,,,,,,,0.5831493745401031,-0.07495749225908876,0.6581068667991918,2018-07-16,1,2018-06-09/2018-06-15
2018-06-19,300750.SZ,宁德时代,29.9,29.9,29.9,29.9,1117428.0,65146052.0,000300.SH,沪深300,3702.668,3712.816,3583.021,3621.117,16070654200,,0.10007358351729212,0.6101238556812061,,,0.19916579770594334,,,,,,,0.0,0.0,,,0.652151833592212,,,,,0.41137123745819415,-0.04742735459804259,0.45879859205623674,2018-07-17,1,2018-06-16/2018-06-22
2018-06-20,300750.SZ,宁德时代,32.89,32.89,32.89,32.89,1310382.0,84034798.0,000300.SH,沪深300,3602.551,3649.336,3578.174,3635.444,8671809800,,0.10000000000000009,0.6106758080313417,,,0.1991395654076129,,,,,,,0.0,0.0,,,0.6604696763825734,,,,,0.28306476132563096,-0.05614747469635073,0.3392122360219817,2018-07-18,1,2018-06-16/2018-06-22
2018-06-21,300750.SZ,宁德时代,36.18,36.18,36.18,36.18,1231660.0,86881296.0,000300.SH,沪深300,3633.556,3673.563,3589.49,3592.965,9390855200,,0.10003040437823052,0.6108637577916294,,,0.1991250165716556,,,,,,,0.0,0.0,,,0.6624362279427959,,,,,0.17495854063018235,-0.045817869085838625,0.22077640971602097,2018-07-19,1,2018-06-16/2018-06-22
2018-06-22,300750.SZ,宁德时代,36.93,37.29,32.56,34.13,128170599.0,8599728956.0,000300.SH,沪深300,3567.894,3609.075,3542.456,3608.905,7511786400,,-0.0566611387506909,0.3812221772561717,,,0.06469927626653371,,,,,,,0.1385877527102255,-0.07581911724884904,,,0.4248068706042327,,,,,0.36653970114268963,-0.0321457616645493,0.39868546280723893,2018-07-20,1,2018-06-16/2018-06-22
2018-06-25,300750.SZ,宁德时代,34.98,36.72,34.48,35.49,69981999.0,4868406844.0,000300.SH,沪深300,3625.798,3631.025,3559.034,3560.478,7987707800,,0.03984764137122765,0.305739514348786,,,0.052553532237973766,,,,,,,0.06311637080867856,0.014579759862778818,,,0.357147371793462,,,,,0.2806424344885883,-0.009753746547514153,0.29039618103610243,2018-07-23,1,2018-06-23/2018-06-29
