buy_threshold,sell_threshold,max_position,validation_total_return,validation_sharpe,validation_max_drawdown,validation_entry_count,validation_turnover
0.55,0.35,0.6,0.0010325562313244774,0.4205548930425536,-0.004181362482470363,1,0.27816697809563823
0.55,0.35,0.8,0.0013723237504725816,0.4205548930425537,-0.0055725177786981606,1,0.37088930412751775
0.55,0.35,1.0,0.0017098798683248262,0.42055489304255333,-0.0069623581512904265,1,0.4636116301593971
0.55,0.4,0.6,0.0010325562313244774,0.4205548930425536,-0.004181362482470363,1,0.27816697809563823
0.55,0.4,0.8,0.0013723237504725816,0.4205548930425537,-0.0055725177786981606,1,0.37088930412751775
0.55,0.4,1.0,0.0017098798683248262,0.42055489304255333,-0.0069623581512904265,1,0.4636116301593971
0.55,0.45,0.6,0.0010325562313244774,0.4205548930425536,-0.004181362482470363,1,0.27816697809563823
0.55,0.45,0.8,0.0013723237504725816,0.4205548930425537,-0.0055725177786981606,1,0.37088930412751775
0.55,0.45,1.0,0.0017098798683248262,0.42055489304255333,-0.0069623581512904265,1,0.4636116301593971
0.6,0.35,0.6,0.001689950029155618,0.6255288438319879,-0.005162405319224628,1,0.1229580355478796
0.6,0.35,0.8,0.0022482864519091095,0.6255288438319881,-0.006879371302932369,1,0.16394404739717283
0.6,0.35,1.0,0.0028041260633688836,0.625528843831988,-0.008594421427445265,1,0.204930059246466
0.6,0.4,0.6,0.001689950029155618,0.6255288438319879,-0.005162405319224628,1,0.1229580355478796
0.6,0.4,0.8,0.0022482864519091095,0.6255288438319881,-0.006879371302932369,1,0.16394404739717283
0.6,0.4,1.0,0.0028041260633688836,0.625528843831988,-0.008594421427445265,1,0.204930059246466
0.6,0.45,0.6,0.001689950029155618,0.6255288438319879,-0.005162405319224628,1,0.1229580355478796
0.6,0.45,0.8,0.0022482864519091095,0.6255288438319881,-0.006879371302932369,1,0.16394404739717283
0.6,0.45,1.0,0.0028041260633688836,0.625528843831988,-0.008594421427445265,1,0.204930059246466
0.65,0.35,0.6,0.0,,0.0,0,0.0
0.65,0.35,0.8,0.0,,0.0,0,0.0
0.65,0.35,1.0,0.0,,0.0,0,0.0
0.65,0.4,0.6,0.0,,0.0,0,0.0
0.65,0.4,0.8,0.0,,0.0,0,0.0
0.65,0.4,1.0,0.0,,0.0,0,0.0
0.65,0.45,0.6,0.0,,0.0,0,0.0
0.65,0.45,0.8,0.0,,0.0,0,0.0
0.65,0.45,1.0,0.0,,0.0,0,0.0
