model,model_label,class_order,positive_probability_column,validation_auc,test_auc_sklearn,test_auc_mann_whitney,test_auc_if_reversed
logistic_regression,逻辑回归,0/1,1,0.6921921921921923,0.5201612903225806,0.5201612903225806,0.4798387096774194
decision_tree,决策树,0/1,1,0.3828828828828829,0.5087976539589443,0.5087976539589443,0.4912023460410558
random_forest,随机森林,0/1,1,0.45345345345345345,0.5593841642228738,0.5593841642228738,0.44061583577712604
