model,model_label,fpr,tpr,threshold
logistic_regression,逻辑回归,0.0,0.0,1.7472256728722673
logistic_regression,逻辑回归,0.0,0.016129032258064516,0.7472256728722673
logistic_regression,逻辑回归,0.0,0.04838709677419355,0.6711076145151097
logistic_regression,逻辑回归,0.022727272727272728,0.04838709677419355,0.6698048401275026
logistic_regression,逻辑回归,0.022727272727272728,0.14516129032258066,0.613863533243077
logistic_regression,逻辑回归,0.045454545454545456,0.14516129032258066,0.6023727881983941
logistic_regression,逻辑回归,0.045454545454545456,0.1935483870967742,0.5912285195355013
logistic_regression,逻辑回归,0.06818181818181818,0.1935483870967742,0.5825276941334071
logistic_regression,逻辑回归,0.06818181818181818,0.20967741935483872,0.5824868911836487
logistic_regression,逻辑回归,0.11363636363636363,0.20967741935483872,0.5736928163485244
logistic_regression,逻辑回归,0.11363636363636363,0.22580645161290322,0.5735560549060393
logistic_regression,逻辑回归,0.13636363636363635,0.22580645161290322,0.5719434531832839
logistic_regression,逻辑回归,0.13636363636363635,0.24193548387096775,0.5685472626805235
logistic_regression,逻辑回归,0.3181818181818182,0.24193548387096775,0.5569220707903203
logistic_regression,逻辑回归,0.3181818181818182,0.25806451612903225,0.5516410025942846
logistic_regression,逻辑回归,0.4090909090909091,0.25806451612903225,0.5357810552107523
logistic_regression,逻辑回归,0.4090909090909091,0.46774193548387094,0.5016831035317396
logistic_regression,逻辑回归,0.4318181818181818,0.46774193548387094,0.5003675987182468
logistic_regression,逻辑回归,0.4318181818181818,0.5,0.4833724062680032
logistic_regression,逻辑回归,0.5,0.5,0.47736954464619485
logistic_regression,逻辑回归,0.5,0.5645161290322581,0.47182287678816254
logistic_regression,逻辑回归,0.5227272727272727,0.5645161290322581,0.4703801354345415
logistic_regression,逻辑回归,0.5227272727272727,0.5967741935483871,0.4601539138857838
logistic_regression,逻辑回归,0.6136363636363636,0.5967741935483871,0.45711120382903064
logistic_regression,逻辑回归,0.6136363636363636,0.6129032258064516,0.44991107255893725
logistic_regression,逻辑回归,0.7045454545454546,0.6129032258064516,0.4404055628500673
