strategy,strategy_label,trade_count,total_turnover,days_in_market_ratio,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trading_days
ml_timing,ML择时策略,1,1.4512157499239295,0.3944954128440367,0.00504267090697974,0.011696868592036891,0.020901949160858288,0.5667606100147672,-0.013743948886343782,0.21100917431192662,109
buy_and_hold,买入持有,1,1.0,0.9908256880733946,0.09928433945756776,0.24463897801342904,0.1788824481046428,1.31338727865556,-0.10609857978279058,0.5321100917431193,109
moving_average,均线策略,3,4.0,0.7064220183486238,0.09680570035619551,0.2381604248324245,0.11833082312711299,1.8647361063314727,-0.03780244957862311,0.3853211009174312,109
