model,model_label,selected_strategy_model,validation_auc,test_auc,reversed_test_auc_diagnostic_only,accuracy,balanced_accuracy,precision,recall,f1,brier
logistic_regression,逻辑回归,True,0.6921921921921923,0.5201612903225806,0.4798387096774194,0.5094339622641509,0.5179618768328446,0.6041666666666666,0.46774193548387094,0.5272727272727272,0.25486482770009483
decision_tree,决策树,False,0.3828828828828829,0.5087976539589443,0.4912023460410558,0.46226415094339623,0.5205278592375366,0.6470588235294118,0.1774193548387097,0.2784810126582279,0.2566444856538127
random_forest,随机森林,False,0.45345345345345345,0.5593841642228738,0.44061583577712604,0.5094339622641509,0.5542521994134898,0.6923076923076923,0.2903225806451613,0.4090909090909091,0.24929289740631175
