Date,Open,Close,High,Low,Volume,Amount,振幅,涨跌幅,涨跌额,换手率
2025-06-30,503.7,497.7,506.2,497.7,18464531,9333594368.0,1.67,-1.97,-10.0,0.2
2025-07-02,502.7,496.2,503.2,494.7,18203168,9151284224.0,1.71,-0.3,-1.5,0.2
2025-07-03,494.7,495.7,498.2,488.5,18956331,9443903488.0,1.95,-0.1,-0.5,0.21
2025-07-04,487.7,491.5,496.2,487.7,14658173,7281073920.0,1.71,-0.85,-4.2,0.16
2025-07-07,489.9,496.7,496.7,488.7,11631687,5811563520.0,1.63,1.06,5.2,0.13
2025-07-08,499.7,499.2,499.7,494.7,13172857,6624679680.0,1.01,0.5,2.5,0.14
2025-07-09,498.7,492.3,498.7,489.7,17820435,8865465088.0,1.8,-1.38,-6.9,0.19
2025-07-10,492.3,491.3,494.3,488.9,14032556,6966268416.0,1.1,-0.2,-1.0,0.15
2025-07-11,491.7,491.3,499.7,491.3,19225560,9638599680.0,1.71,0.0,0.0,0.21
2025-07-14,491.7,494.7,496.2,490.7,11704663,5842438656.0,1.12,0.69,3.4,0.13
2025-07-15,497.2,512.2,512.7,494.7,27446891,13994302464.0,3.64,3.54,17.5,0.3
2025-07-16,514.7,511.2,520.7,510.7,23250693,12100620288.0,1.95,-0.2,-1.0,0.25
2025-07-17,514.2,511.7,514.2,505.7,13735794,7090524416.0,1.66,0.1,0.5,0.15
2025-07-18,519.7,513.7,519.7,511.2,13781113,7169387776.0,1.66,0.39,2.0,0.15
2025-07-21,517.2,516.2,517.2,509.2,13273287,6881569536.0,1.56,0.49,2.5,0.14
2025-07-22,516.2,520.7,520.7,513.7,17600260,9212230400.0,1.36,0.87,4.5,0.19
2025-07-23,524.7,546.7,546.7,521.7,46744850,25434771200.0,4.8,4.99,26.0,0.51
2025-07-24,548.2,551.7,554.7,542.7,24180342,13418168064.0,2.19,0.91,5.0,0.26
2025-07-25,546.7,545.2,549.7,540.7,19886923,10940833536.0,1.63,-1.18,-6.5,0.22
2025-07-28,545.2,550.2,552.7,541.2,14661199,8117934848.0,2.11,0.92,5.0,0.16
2025-07-29,546.2,549.7,551.2,540.7,16847424,9283870208.0,1.91,-0.09,-0.5,0.18
2025-07-30,544.7,543.7,550.7,537.2,19362555,10639648000.0,2.46,-1.09,-6.0,0.21
2025-07-31,541.7,544.7,553.7,539.7,20453269,11289881344.0,2.57,0.18,1.0,0.22
2025-08-01,546.2,529.7,549.2,528.2,21203861,11508370688.0,3.86,-2.75,-15.0,0.23
