feature,vif,feature_cn
return_1d,1.2838643367517888,1日收益
rsi14,2.9627365374254806,RSI(14)
return_10d,3.8451925254667247,10日收益
return_20d,2.6769426078713945,20日收益
amount_ratio20,1.941482332617015,20日额比
return_5d,2.2786401644459504,5日收益
intraday_range,2.0082206629346264,日内振幅
benchmark_volatility20,1.2998764376894083,沪深300 20日波动率
