feature,feature_cn,mean_auc,std_auc,years_above_0_5,vif,reason
return_1d,1日收益,0.5779597861629111,0.0629857958009807,4,1.2838643367517888,通过滚动验证与相关性去冗余
rsi14,RSI(14),0.570270556989307,0.0656168532078021,3,2.9627365374254806,通过滚动验证与相关性去冗余
return_10d,10日收益,0.5394042733886484,0.0523236186419013,3,3.8451925254667247,通过滚动验证与相关性去冗余
return_20d,20日收益,0.5376060137778889,0.0517608174651968,3,2.6769426078713945,通过滚动验证与相关性去冗余
amount_ratio20,20日额比,0.5363290644540645,0.0631295953206589,3,1.941482332617015,通过滚动验证与相关性去冗余
return_5d,5日收益,0.5337056895650646,0.0558477199107817,3,2.2786401644459504,通过滚动验证与相关性去冗余
intraday_range,日内振幅,0.5275388890623266,0.0458142699699904,3,2.0082206629346264,通过滚动验证与相关性去冗余
benchmark_volatility20,沪深300 20日波动率,0.5243814778971029,0.0968325528228631,2,1.2998764376894083,通过滚动验证与相关性去冗余
