model,model_cn,roc_auc,auc_ci_low,auc_ci_high,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,brier,tn,fp,fn,tp,params,mean_validation_auc,std_validation_auc,auc_2021,auc_2022,auc_2023,auc_2024,model_label,test_rows,auc_ci,auc_minus_random,display_order
decision_tree,决策树,0.5243478260869565,0.34918430335097,0.6913313094429347,0.6114970986460349,0.5833333333333334,0.5947826086956521,0.7272727272727273,0.32,0.4444444444444444,0.2501013522498663,20,3,17,8,"{""max_depth"": 3, ""min_samples_leaf"": 15, ""class_weight"": ""balanced""}",0.5534057594604469,0.0632008181499467,0.51953125,0.5248397435897436,0.5211038961038961,0.6481481481481481,决策树,48,0.349–0.691,0.024347826086956514,0
gradient_boosting,梯度提升,0.4495652173913043,0.2315996503496503,0.6574184303350968,0.5908683610500118,0.4583333333333333,0.4434782608695652,0.4878048780487805,0.8,0.6060606060606061,0.2645704624505406,2,21,5,20,"{""n_estimators"": 80, ""learning_rate"": 0.05, ""max_depth"": 1, ""min_samples_leaf"": 8}",0.5709911399364523,0.047010559491996,0.6054687499999999,0.6113782051282051,0.5560064935064934,0.5111111111111111,梯度提升,48,0.232–0.657,-0.050434782608695716,1
random_forest,随机森林,0.4,0.1781120312859443,0.6206409801136363,0.5280883536613685,0.4375,0.4356521739130434,0.4615384615384615,0.48,0.4705882352941176,0.2709705167882371,9,14,13,12,"{""max_depth"": 3, ""min_samples_leaf"": 10, ""max_features"": ""sqrt""}",0.5733858011201762,0.0723874621024763,0.6515625,0.5721153846153847,0.4772727272727273,0.5925925925925926,随机森林,48,0.178–0.621,-0.09999999999999998,2
logistic_regression,逻辑回归,0.368695652173913,0.1562065972222222,0.5856778996865204,0.5207547007135362,0.4583333333333333,0.4469565217391304,0.4864864864864865,0.72,0.5806451612903226,0.2925006882589874,4,19,7,18,"{""C"": 1.0}",0.5870899355274356,0.0879189331871984,0.71875,0.5496794871794872,0.5373376623376623,0.5425925925925926,逻辑回归,48,0.156–0.586,-0.13130434782608702,3
