feature,feature_cn,y0_mean,y1_mean,y0_median,y1_median,y0_std,y1_std,standardized_mean_difference,raw_univariate_auc,direction_free_auc
return_1d,1日收益,-0.003910829958457972,0.0045241339559542,-0.002703166420065517,0.0024306986985330736,0.02505101121783747,0.030598076600422033,0.2978200686020737,0.568543956043956,0.568543956043956
return_5d,5日收益,0.004645762565084621,0.016130747581812373,0.00399440571295373,0.014153821646123221,0.0576725010845304,0.06688530553049425,0.18215942277592936,0.5535714285714286,0.5535714285714286
return_10d,10日收益,0.005508161032255289,0.028047274282598286,-0.001549388935967455,0.02169113700230496,0.0816397811713761,0.08702556994916022,0.26601671277009986,0.58787284144427,0.58787284144427
return_20d,20日收益,0.020397666333222007,0.04518246778409557,-0.00040584415584415945,0.03844206830917063,0.13047938015080068,0.13014489306371593,0.19022753873673126,0.5831632653061224,0.5831632653061224
ma5_gap,5日均线偏离,-0.0012939409053885876,0.005164543915441441,-0.002775463577429138,0.0015097811064092026,0.02825255657676395,0.032936631686877986,0.20841159738137438,0.5450941915227628,0.5450941915227628
ma20_gap,20日均线偏离,0.0008992481192224677,0.022452526327194286,-0.004754765149776297,0.01756401156599252,0.06260857913117528,0.07050770070719922,0.320777712405317,0.6039246467817896,0.6039246467817896
ma60_gap,60日均线偏离,0.03833099592841713,0.041632237748064765,0.022425967623638132,0.02237789854518124,0.13844350416084955,0.12934315014650993,0.024752057799770164,0.5135400313971742,0.5135400313971742
rsi14,RSI(14),48.30070324135916,54.41849692537697,47.10427716596012,55.10119266837813,15.976562397882242,16.137080665609997,0.3807545466419282,0.6116169544740974,0.6116169544740974
macd_pct,MACD/价格,0.004322640107834714,0.006990173433703651,0.0027477233119244104,0.007233697578899743,0.03197251933509856,0.03060325469947028,0.08548303832820743,0.5374411302982731,0.5374411302982731
atr14_pct,ATR(14)/价格,0.03927057435540016,0.04065319108354238,0.03586646376260222,0.03990849624044902,0.012640256805284827,0.011786430570665344,0.11365833050364856,0.5552197802197802,0.5552197802197802
volatility20,20日波动率,0.02644810213318236,0.028397483275360513,0.023947246343406604,0.027817638421403307,0.009579081675296218,0.010469891445681672,0.1931493670548134,0.5634615384615385,0.5634615384615385
intraday_range,日内振幅,0.03784912021802116,0.03911964211713643,0.034345335071141445,0.03419936972402397,0.017761478896509142,0.019800507574575587,0.06707507751783426,0.5064756671899528,0.5064756671899528
open_close_return,开收盘收益,-0.0029518224221317486,0.0017469405953057177,-0.0030428400113189924,-0.0007946901848391863,0.023130932873095113,0.026796854525132245,0.18594317810252586,0.5379709576138147,0.5379709576138147
volume_ratio20,20日量比,1.044829847554984,1.0174870572637553,0.9398251584845805,0.8932450568259673,0.42891928410473257,0.44691167051414243,-0.06225777063028,0.46985871271585566,0.5301412872841443
amount_ratio20,20日额比,1.0449830407499625,1.04023260195004,0.9469709598281117,0.9138710618396382,0.435024872024105,0.5039411371060537,-0.009995979627817182,0.4779434850863422,0.5220565149136578
excess_return_5d,5日超额收益,0.005399159788384877,0.011096334877852757,0.003118199309838199,0.007383721934284104,0.04925466250954194,0.05409332086315555,0.10946250303604291,0.5289246467817896,0.5289246467817896
excess_return_20d,20日超额收益,0.02022841170861395,0.03694372684384854,0.0036022564046757632,0.033147200174153846,0.11321973513867205,0.10451951709972077,0.15422237306978476,0.5728806907378335,0.5728806907378335
benchmark_return_20d,沪深300 20日收益,0.00016925462460805538,0.008238740940247026,-0.009847476084190177,0.004036359412741608,0.054177695839437066,0.05435707841463117,0.14866618461496353,0.5529434850863423,0.5529434850863423
benchmark_volatility20,沪深300 20日波动率,0.012054210308228201,0.011305898015020598,0.010500938975548395,0.00979463599960057,0.004597664545863115,0.005098994047698674,-0.15310580053203648,0.43716640502354787,0.5628335949764521
beta60,60日贝塔,1.2663534034377228,1.344714496958616,1.244195936527991,1.316584309724504,0.392543920767196,0.35769013419133044,0.20995400934320954,0.5665227629513344,0.5665227629513344
