model,model_cn,roc_auc,auc_ci_low,auc_ci_high,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,brier,tn,fp,fn,tp,params
logistic_regression,逻辑回归,0.36869565217391304,0.15620659722222222,0.5856778996865204,0.5207547007135362,0.4583333333333333,0.4469565217391304,0.4864864864864865,0.72,0.5806451612903226,0.2925006882589874,4,19,7,18,"{""C"": 1.0}"
decision_tree,决策树,0.5243478260869565,0.34918430335097006,0.6913313094429347,0.6114970986460349,0.5833333333333334,0.5947826086956521,0.7272727272727273,0.32,0.4444444444444444,0.2501013522498663,20,3,17,8,"{""max_depth"": 3, ""min_samples_leaf"": 15, ""class_weight"": ""balanced""}"
random_forest,随机森林,0.4,0.17811203128594438,0.6206409801136363,0.5280883536613685,0.4375,0.43565217391304345,0.46153846153846156,0.48,0.47058823529411764,0.2709705167882371,9,14,13,12,"{""max_depth"": 3, ""min_samples_leaf"": 10, ""max_features"": ""sqrt""}"
gradient_boosting,梯度提升,0.4495652173913043,0.23159965034965033,0.6574184303350968,0.5908683610500118,0.4583333333333333,0.4434782608695652,0.4878048780487805,0.8,0.6060606060606061,0.2645704624505406,2,21,5,20,"{""n_estimators"": 80, ""learning_rate"": 0.05, ""max_depth"": 1, ""min_samples_leaf"": 8}"
