Date,Symbol,Name,label_end_date,Split,return_1d,return_5d,return_10d,return_20d,ma5_gap,ma20_gap,ma60_gap,rsi14,macd_pct,atr14_pct,volatility20,volume_ratio20,amount_ratio20,intraday_range,open_close_return,excess_return_5d,excess_return_20d,return_20d_rank,market_median_return_5d,market_median_return_20d,market_breadth_20d,market_dispersion_20d,future_return_20d,Label
2018-02-28,000001.SZ,000001.SZ,2018-03-28,train,-0.01870000000000005,0.004152715345244307,-0.06732174630332599,-0.17699498822386284,-0.028666945344582362,-0.07717097092864578,-0.09782821101276795,0.37125502972193936,-0.03533193053284186,0.042962663376204024,0.029937005110732127,0.6945821170699724,0.6320568490048999,0.0215767634854771,-0.004132231404958664,-0.020337159666957705,-0.08104963848566599,-0.33673469387755106,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.09627415192605948,0
2018-02-28,000002.SZ,000002.SZ,2018-03-28,train,-0.006099999999999883,-0.014134745520802294,-0.008597002007361909,-0.20500846917293736,-0.027942042091952612,-0.07030007160765273,-0.03274357486158219,0.406593213345228,-0.023399025639201616,0.05414475076415076,0.029543652448537894,0.8641917168263467,0.7919738876365673,0.04250764525993873,0.005844355582897753,-0.038624620533004306,-0.10906311943474051,-0.40816326530612246,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.04190036492327087,0
2018-02-28,000063.SZ,000063.SZ,2018-03-28,train,-0.0040000000000000036,0.05711650561862269,0.12302844561568738,-0.1296960265445659,0.009433741251809513,0.047321030863193725,-0.062028644503521524,0.5087430755903999,-0.02264531669231781,0.041396449513181145,0.03793350596767978,0.7057897369491863,0.7351861027594575,0.03225806451612909,0.00844541757898054,0.03262663060642068,-0.03375067680636906,-0.19387755102040816,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.08118086274148173,0
2018-02-28,000069.SZ,000069.SZ,2018-03-28,train,0.004699999999999704,-0.017289880589371198,-0.05109743330848415,-0.1823364729224165,-0.014589012883765018,-0.09370354522291946,-0.06441429609770766,0.36083021417749434,-0.0349898083350095,0.0517725016908056,0.02880090753778428,0.5280647098901265,0.4728877256803312,0.034077555816686485,0.014302741358760418,-0.04177975560157321,-0.08639112318421965,-0.36734693877551017,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.05282795991947453,0
2018-02-28,000333.SZ,000333.SZ,2018-03-28,train,0.006399999999999961,-0.03458432440829007,0.0409675010174817,-0.09048143805759035,-0.028930470335702507,-0.03759756370627365,-0.02591528847418778,0.4432644375579315,-0.011311040705338556,0.04209528413356526,0.02782373806662215,0.8395613404827469,0.8158259444924523,0.03821656050955402,0.011039558417663242,-0.05907419942049208,0.0054639116806065036,0.030612244897959218,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.033372713358093,0
2018-02-28,000425.SZ,000425.SZ,2018-03-28,train,-0.011700000000000044,0.02910904538470982,-0.02760345575933254,-0.11118218201253416,-0.001432774116306157,-0.032693456211736804,-0.01971794704618246,0.4423686106938699,-0.0189353905713683,0.03693418233220392,0.024522257237048907,0.6613545265180663,0.6261173530403686,0.02358490566037763,-0.009345794392523477,0.004619170372507808,-0.015236832274337309,-0.07142857142857145,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.09901307803380044,0
2018-02-28,000568.SZ,000568.SZ,2018-03-28,train,-0.028000000000000025,-0.015042908092797957,0.04900032211603178,-0.1503075003910993,-0.040313692026135994,-0.04782247920392757,-0.09777637552918728,0.3943201760608189,-0.031587957791281644,0.04895470045423301,0.03013311260059271,0.7856825004132211,0.7503551048034872,0.05615476801917484,-0.007645259938838023,-0.03953278310499997,-0.05436215065290245,-0.29591836734693877,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.09575094334139489,0
2018-02-28,000651.SZ,000651.SZ,2018-03-28,train,-0.006199999999999983,-0.04707824644073033,0.027993315801378094,-0.07313157225747113,-0.0335059068877499,-0.03721071939260234,0.05421162730761875,0.47311138787617685,0.008282485734564653,0.04290331312634049,0.027479244895011155,0.8413452177972669,0.812561882430252,0.03985296962662012,0.01174398120963005,-0.07156812145293234,0.022813777480725717,0.13265306122448983,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.11971832770882962,0
2018-02-28,000671.SZ,000671.SZ,2018-03-28,train,0.01949999999999985,0.0011905977610828788,0.06208369728324592,-0.17783335682012247,-0.00023785750943439155,-0.05518883546714681,0.025415238462129786,0.47125621103098503,-0.015351880728421724,0.0703679901156657,0.041881850484428204,0.707233493355768,0.6494631045714887,0.07159904534606225,0.03329223181257723,-0.023299277251119133,-0.08188800708192562,-0.3469387755102041,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.13012260498359052,0
2018-02-28,000725.SZ,000725.SZ,2018-03-28,train,-0.009803921568627416,0.026422764227642226,0.05427974947807934,-0.14983164983164987,-0.0039447731755425375,-0.010095070077428159,-0.030741179104955108,0.47071525561923866,-0.01941351118977019,0.047016261789397724,0.036198383501513394,0.6168007022738313,0.6079093281732169,0.03366336633663365,0.010000000000000009,0.0019328892154402144,-0.05388630009345302,-0.2857142857142857,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.0633663366336632,0
2018-02-28,000732.SZ,000732.SZ,2018-03-28,train,0.04190000000000005,0.11275394195270971,0.024663857066937522,-0.2499164863521851,0.04342768068336844,-0.025560819805595658,0.2194154033694502,0.5324036318036394,-0.002293379469173219,0.06889007618504128,0.04148396798764552,1.3702415720166337,1.2906192803244276,0.09260450160771719,0.06726149622512034,0.0882640669405077,-0.15397113661398826,-0.46938775510204084,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.1684085766869734,0
2018-02-28,000776.SZ,000776.SZ,2018-03-28,train,-0.007800000000000029,0.02524116181638436,-0.04990928633165337,-0.17602747703864519,-0.003749113389479697,-0.06036647431421649,-0.05563475122182149,0.3900146634558898,-0.027546658291210252,0.033107544311161884,0.01976044723684157,0.6339104768242075,0.58491116236982,0.030102347983142777,0.0012055455093429313,0.0007512868041823495,-0.08008212730044834,-0.326530612244898,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.02916165141239746,0
2018-02-28,000786.SZ,000786.SZ,2018-03-28,train,-0.010399999999999965,0.046473760839306655,0.01293317026977081,-0.05011346140769657,-0.009915795481887146,-0.018697737822231608,0.010965280264774835,0.49176839686588686,-0.005163285546193095,0.052179575880654416,0.03380461913703507,0.6181479884056491,0.5966360184835683,0.03122362869198342,0.004237288135592987,0.021983885827104643,0.04583188833050028,0.18367346938775508,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,0.018144236287984228,1
2018-02-28,000792.SZ,000792.SZ,2018-03-28,train,0.021300000000000097,0.06148639618023033,0.1501674355321534,-0.12614400363428346,0.011872314145111806,0.02324790612944816,-0.04767777645158777,0.4942889314307243,-0.030750147393320888,0.053492497217349014,0.04310315997696691,0.9516254797469585,0.9590651492646765,0.059459459459459664,0.02941176470588225,0.03699652116802832,-0.030198653896086614,-0.17346938775510207,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.04945250490864006,0
2018-02-28,000807.SZ,000807.SZ,2018-03-28,train,0.009300000000000086,0.11151968451046246,0.04206716393519039,-0.21317577264588095,0.0299273271435474,-0.013971903791122786,-0.052763607142421565,0.4727487972334891,-0.042295883482105535,0.059178798000306614,0.043960537985789014,1.2982826437738306,1.2592110552110845,0.04959630911187995,0.038323353293413076,0.08702980949826045,-0.1172304229076841,-0.4387755102040816,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.13831011061363785,0
2018-02-28,000830.SZ,000830.SZ,2018-03-28,train,-0.008599999999999941,0.07999777400917751,0.08912455044698642,0.10591390476536455,-0.020488088603743182,0.03439788885868911,0.22126422318661088,0.5743301139984528,0.04429927280674847,0.06582886980476259,0.052773672176569315,0.8250901054948473,0.8551310055015189,0.05787641427328105,0.015017667844522853,0.0555078989969755,0.2018592545035614,0.41836734693877553,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.2957414136383002,0
2018-02-28,000858.SZ,000858.SZ,2018-03-28,train,-0.023900000000000143,-0.030238067107999478,0.0459350637689504,-0.1496269198930118,-0.04434117731304954,-0.0532807849014012,-0.05978012610758676,0.4086520048166441,-0.022603874067738613,0.0468415836118324,0.030701245495907855,0.7893985820251914,0.7481806642129258,0.03742595584275704,0.003783783783783745,-0.05472794212020149,-0.05368157015481495,-0.26530612244897955,0.02448987501220201,-0.09594534973819685,0.21428571428571427,0.10941176254836008,-0.12838949118971577,0
