model,model_label,selected_candidate,selection_score_mean_auc,auc,accuracy,precision,recall,f1,tn,fp,fn,tp,threshold,mean_monthly_auc,auc_ci_low,auc_ci_high
logistic_regression,逻辑回归,C=0.01,0.550512392268999,0.5289815875817598,0.5098591549295775,0.5603960396039604,0.4854202401372213,0.5202205882352942,260,222,300,283,0.5,0.5736076575780853,0.4993168843734881,0.5867838790504099
decision_tree,决策树,"depth=7,leaf=20",0.4942489634321421,0.4903525191632918,0.4807511737089202,0.5441176470588235,0.31732418524871353,0.4008667388949079,327,155,398,185,0.5,0.5189222306010038,0.4087363494539781,0.5762649560207188
random_forest,随机森林,"depth=5,leaf=20,features=sqrt",0.5469325787897819,0.4920393158864935,0.49014084507042255,0.5469483568075117,0.3996569468267582,0.46184340931615464,289,193,350,233,0.5,0.5396875383631242,0.41660566984893915,0.6193399217653388
constant_baseline,常数概率基线,2018-2024 positive prevalence,0.5,0.5,0.45258215962441317,0.0,0.0,0.0,482,0,583,0,0.5,0.5,0.5,0.5
