model,model_label,fpr,tpr,threshold,auc
logistic_regression,逻辑回归,0.0,0.0,1.5901250130358724,0.5289815875817598
logistic_regression,逻辑回归,0.002074688796680498,0.0,0.5901250130358723,0.5289815875817598
logistic_regression,逻辑回归,0.004149377593360996,0.0,0.5893202454648688,0.5289815875817598
logistic_regression,逻辑回归,0.004149377593360996,0.008576329331046312,0.5817711766985288,0.5289815875817598
logistic_regression,逻辑回归,0.006224066390041493,0.008576329331046312,0.5808288642550535,0.5289815875817598
logistic_regression,逻辑回归,0.006224066390041493,0.010291595197255575,0.5766779237054979,0.5289815875817598
logistic_regression,逻辑回归,0.008298755186721992,0.010291595197255575,0.5762758308979427,0.5289815875817598
logistic_regression,逻辑回归,0.008298755186721992,0.012006861063464836,0.5762544286546899,0.5289815875817598
logistic_regression,逻辑回归,0.01037344398340249,0.012006861063464836,0.5756405391805895,0.5289815875817598
logistic_regression,逻辑回归,0.01037344398340249,0.0137221269296741,0.5746444339155423,0.5289815875817598
logistic_regression,逻辑回归,0.012448132780082987,0.0137221269296741,0.574333768435025,0.5289815875817598
logistic_regression,逻辑回归,0.012448132780082987,0.017152658662092625,0.5685694368958343,0.5289815875817598
logistic_regression,逻辑回归,0.014522821576763486,0.017152658662092625,0.5681496178344746,0.5289815875817598
logistic_regression,逻辑回归,0.014522821576763486,0.024013722126929673,0.5643986109057041,0.5289815875817598
logistic_regression,逻辑回归,0.016597510373443983,0.024013722126929673,0.5638138457715177,0.5289815875817598
logistic_regression,逻辑回归,0.016597510373443983,0.025728987993138937,0.5625307505489785,0.5289815875817598
logistic_regression,逻辑回归,0.01867219917012448,0.025728987993138937,0.5621796392402121,0.5289815875817598
logistic_regression,逻辑回归,0.01867219917012448,0.0274442538593482,0.5614613894833389,0.5289815875817598
logistic_regression,逻辑回归,0.024896265560165973,0.0274442538593482,0.5602417910952691,0.5289815875817598
logistic_regression,逻辑回归,0.024896265560165973,0.029159519725557463,0.5594703280259757,0.5289815875817598
logistic_regression,逻辑回归,0.029045643153526972,0.029159519725557463,0.5588047914260844,0.5289815875817598
logistic_regression,逻辑回归,0.029045643153526972,0.032590051457975985,0.5586520811674158,0.5289815875817598
logistic_regression,逻辑回归,0.03112033195020747,0.032590051457975985,0.5584626074812037,0.5289815875817598
logistic_regression,逻辑回归,0.03112033195020747,0.03773584905660377,0.5558103736708677,0.5289815875817598
logistic_regression,逻辑回归,0.03319502074688797,0.03773584905660377,0.5557681428897875,0.5289815875817598
logistic_regression,逻辑回归,0.03319502074688797,0.0411663807890223,0.554927018360502,0.5289815875817598
logistic_regression,逻辑回归,0.035269709543568464,0.0411663807890223,0.5548639991439566,0.5289815875817598
logistic_regression,逻辑回归,0.035269709543568464,0.04288164665523156,0.5548271282613686,0.5289815875817598
