model,model_label,candidate,candidate_order,parameters,validation_auc,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_tn,validation_fp,validation_fn,validation_tp,validation_threshold,validation_mean_monthly_auc,development_auc,development_accuracy,development_precision,development_recall,development_f1,development_tn,development_fp,development_fn,development_tp,development_threshold,development_mean_monthly_auc,selection_score_mean_auc,selection_score_min_auc
logistic_regression,逻辑回归,C=0.01,0,"{""C"": 0.01, ""class_weight"": ""balanced""}",0.5242561683599419,0.5279329608938548,0.4224299065420561,0.5330188679245284,0.47132429614181437,341,309,198,226,0.5,0.5301530473932913,0.5767686161780559,0.5370196813495782,0.5949008498583569,0.37433155080213903,0.4595185995623632,363,143,351,210,0.5,0.5427834929124523,0.550512392268999,0.5242561683599419
logistic_regression,逻辑回归,C=0.1,1,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.5266074020319303,0.5251396648044693,0.42124542124542125,0.5424528301886793,0.4742268041237113,334,316,194,230,0.5,0.5445012245615104,0.5477196987310914,0.5192127460168697,0.5540540540540541,0.4385026737967914,0.4895522388059701,308,198,315,246,0.5,0.5572842594396885,0.5371635503815109,0.5266074020319303
logistic_regression,逻辑回归,C=1,2,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.5277503628447024,0.5242085661080075,0.42190305206463197,0.5542452830188679,0.47910295616717635,328,322,189,235,0.5,0.5445657626302807,0.5419388021108551,0.521087160262418,0.5558035714285714,0.44385026737967914,0.49355797819623387,307,199,312,249,0.5,0.5385299785642818,0.5348445824777788,0.5277503628447024
decision_tree,决策树,"depth=3,leaf=50",0,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 50}",0.5080950653120464,0.590316573556797,0.4574468085106383,0.2028301886792453,0.28104575163398693,548,102,338,86,0.5,0.5018846862212115,0.4517219392248455,0.4629803186504217,0.4117647058823529,0.049910873440285206,0.0890302066772655,466,40,533,28,0.5,0.49130663134819147,0.47990850226844595,0.4517219392248455
decision_tree,决策树,"depth=5,leaf=30",1,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""min_samples_leaf"": 30}",0.5087971698113207,0.5828677839851024,0.46407185628742514,0.36556603773584906,0.4089709762532981,471,179,269,155,0.5,0.5059304091215031,0.42126742899818925,0.450796626054358,0.42424242424242425,0.12477718360071301,0.19283746556473827,411,95,491,70,0.5,0.4842176419062608,0.465032299404755,0.42126742899818925
decision_tree,决策树,"depth=7,leaf=20",2,"{""class_weight"": ""balanced"", ""max_depth"": 7, ""min_samples_leaf"": 20}",0.5262463715529754,0.4376163873370577,0.3728813559322034,0.6226415094339622,0.4664310954063604,206,444,160,264,0.5,0.48944058147670816,0.46225155531130885,0.4948453608247423,0.5237068965517241,0.43315508021390375,0.4741463414634146,285,221,318,243,0.5,0.46442682339111635,0.4942489634321421,0.46225155531130885
random_forest,随机森林,"depth=5,leaf=20,features=sqrt",0,"{""class_weight"": ""balanced"", ""max_depth"": 5, ""max_features"": ""sqrt"", ""max_samples"": 0.8, ""min_samples_leaf"": 20, ""n_estimators"": 400}",0.516589259796807,0.5391061452513967,0.4123456790123457,0.3938679245283019,0.40289505428226785,412,238,257,167,0.5,0.4934758835964871,0.5772758977827567,0.5042174320524836,0.5816326530612245,0.20320855614973263,0.3011889035667107,424,82,447,114,0.5,0.5347351591309216,0.5469325787897819,0.516589259796807
random_forest,随机森林,"depth=8,leaf=15,features=sqrt",1,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""max_features"": ""sqrt"", ""max_samples"": 0.8, ""min_samples_leaf"": 15, ""n_estimators"": 400}",0.49190493468795354,0.5074487895716946,0.3841059602649007,0.41037735849056606,0.3968072976054732,371,279,250,174,0.5,0.48335632371537524,0.5536415069081891,0.4873477038425492,0.5296610169491526,0.22281639928698752,0.3136762860727729,395,111,436,125,0.5,0.5062646755978337,0.5227732207980713,0.49190493468795354
random_forest,随机森林,"depth=10,leaf=10,features=0.7",2,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""max_features"": 0.7, ""max_samples"": 0.8, ""min_samples_leaf"": 10, ""n_estimators"": 400}",0.4372423802612482,0.4655493482309125,0.3263888888888889,0.33254716981132076,0.3294392523364486,359,291,283,141,0.5,0.4477446584989235,0.489829708383533,0.4873477038425492,0.5353535353535354,0.1889483065953654,0.27931488801054016,414,92,455,106,0.5,0.47025691077999127,0.4635360443223906,0.4372423802612482
